id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
1,次の文は渦流探傷試験の原理について述べたものである。正しいものを選べ。,試験コイルに直流電流を流すと，試験体内に渦電流が誘導されることを利用する。,試験体表面のきずによって，渦電流の流れが変化することを利用する。,渦電流の周波数が，きずによって変化することを利用する。,試験体表面のきずの部分が磁気飽和することを利用する。,,b,（新問題集に解説あり） 50P 4.1.2 図4.1.4 図4.1.4 のとおり。(b)が正しい。 (a)の直流では渦電流は誘導されない。,
2,次の文は、電磁誘導試験の適用について述べたものである。正しいものを選べ。,金属表面の非導電性膜厚測定では、渦電流が試験体の導電率や透磁率によって異なることを利用し ている。,材質試験では、渦電流がリフトオフによって変化することを利用している。,探傷試験では、試験体内の不連続部が渦電流を変化させることを利用している。,非磁性材料の材質試験では、透磁率によって渦電流が変化することを利用している。,,c,2P 1.3，3P 1.5，187P 9.1.1，190P 9.1.2 (a)はプローブ-試験体間距離(リフトオフ)を利用。☓ (b)材質試験は導電率又は透磁率の違いを測定する。☓ (c)〇 (d) 非磁性体の材質試験は，導電率の違いを利用する。 補＞「きず」の定義：非破壊試験の結果から判断される不完全部又は不連続部（JIS Z 2300）,
3,次の文は、渦電流探傷試験について述べた。次の中から正しいものを選べ。,試験指示に影響を与える因子には試験体の形状、導電率および透磁率がある。,渦電流の表皮効果に直接に影響を与えるものは、試験体の密度と弾性率である。,磁気飽和コイルには、商用周波数の交流電流が加えられる。,非磁性体と強磁性体における渦電流の浸透深さの違いは、導電率の差が大きく影響している。,,a,61P～66P 4.5 (a) 〇 (b) 試験体の密度とは何の密度か。弾性率は表皮効果と関係ない。☓ (c) 交流電流とは限らない。☓ (d) 透磁率が大きく関係している。☓,
4,次の文は、貫通プローブによって管に誘導される渦電流について述べたものである。 正しいものを一つ選べ。,渦電流は管の軸方向に誘導される。,渦電流は管の半径方向に誘導される。,渦電流は管の円周方向に誘導される。,渦電流は管の外面から内面に向かって誘導される。,,c,51P 図4.1.5 の通り,
5,次の文は渦電流探傷試験を適用する試験体について述べたものである。正しいものを一つ選べ。,強磁性体でなければならない。,非磁性体でなければならない。,導体でなければならない。,絶縁体でなければならない。,,c,1P 1.1,
6,次の文は，渦流探傷試験の特徴を述べたものである。正しいものを一つ選べ。,試験体の表面から深い位置にあるきずに対する検出感度が高い。,試験コイルを加熱することにより，高温度の試験体を熱間探傷ができる。,高温の鋼や熱交換器の配管など，人が接近できない部分の探傷試験に適用できる。,直流磁気飽和を行うことにより，非導電性材料の探傷ができる。,,c,（新問題集に解説あり） 2P 1.3，3P 1.5 (a)は表皮効果があるので誤り。 (b)熱間探傷ではコイルを冷却する必要があり誤り。 (c)〇 (d)非導電性材料は渦電流が流れないので誤り。 注＞非接触なので，鋼材の熱間探傷や，熱交換器の伝熱管の内部にプローブを送り込んだりして，人が近 づけない部分に適用できる。ただし「配管」⇒「細管」と読み替える方が良いと思われる。,
7,"次の文は,渦電流探傷試験の長所について述べたものである。正しいものを一つ選びなさい。",試験体内部のきずが検出できる。,非導電体の探傷試験ができる。,非接触で探傷試験ができる。,きずの形状が検出できる。,,c,2P 1.3，3P 1.5 (a)は表皮効果（52P 4.2）により，試験体内部まで渦電流が届かない。☓ (b)非導電体は渦電流が流れないので☓。 (c)○ (d)きずの形状寸法は正確に把握できない。☓ 注＞(c)非接触なので高温における探傷が可能となる。,
8,図のように抵抗R に電流が流れるとジュール熱が発生する。このとき，電圧が2 倍になるとジュール熱 は何倍になるか。,1 倍,2 倍,4 倍,8 倍,,c,11P 2.2.4 オームの法則は R＝ 𝑉 𝐼 であり，R が一定ならば電圧V が2 倍になると電流I も2 倍となる。 ジュールエネルギーは 𝑃= 𝐼𝑉＝𝐼2𝑅 で表され，電圧𝑉が2 倍だと電流𝐼も2 倍なので，ジュールエネ ルギーは4 倍となる。 単位は W（ワット）＝J/s（ジュール毎秒）。,et_2022_10_q8.png
9,磁力線によって磁界の何を表すことが出来るか。最も適切なものを一つ選べ。,磁界の密度。,磁界の方向および強さ。,磁界の位相。,磁界の位相および方向。,,b,11P 2.3 (b)磁力線は、その密度が磁界の強さに比例し、磁界の方向を示す。〇,
10,次の文はコイルによって生ずる磁界について述べたものである。正しいものを一つ選べ。,磁界の強さはコイルに流す電流に反比例する。,コイルに流す電流の向きを逆にしても、磁界の向きは変わらない。,磁界の強さはコイルからの距離によっては変わらない。,磁界の強さはコイルの巻数に比例する。,,d,14P 図2.3.6 2.26式 2.26式 𝐻= 𝑛𝐼 𝑛：巻き線密度 (a)磁界はコイルに流す電流に反比例する。→比例する。☓ (b)コイルに流す電流の向きを逆にしても磁界の向きは変わらない。→向きも逆になる。☓ (c)磁界強さはコイルからの距離によって変わらない。→距離が離れると磁束は減り磁界は弱まる。☓ (d)磁界はコイルの巻き数に比例する。〇,
