id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,放射線の量とその単位に関する次の記述のうち、誤っているものはどれか。,吸収線量は、電離放射線の照射により、単位質量の物質に付与されたエネルギーをいい、単位としてGyが用いられる。,カーマは、電離放射線の照射により、単位質量の物質中に生成された荷電粒子の電荷の総和であり、単位としてGyが用いられる。,等価線量は、人体の特定の組織・臓器当たりの吸収線量に、放射線の種類とエネルギーに応じて定められた放射線加重係数を乗じたもので、単位としてSvが用いられる。,実効線量は、人体の各組織・臓器が受けた等価線量に、各組織・臓器の相対的な放射線感受性を示す組織加重係数を乗じ、これらを合計したもので、単位としてSvが用いられる。,eV(電子ボルト)は、放射線のエネルギーの単位として用いられ、1eVは約1.6×10^-19Jに相当する。,b,カーマは単位質量の物質中で放出された荷電粒子の初期運動エネルギーの総和であり、電荷の総和ではない。
2,気体の電離を利用する放射線検出器の印加電圧と生じる電離電流の特性に対応した次のAからDの領域について、気体(ガス)増幅が生じ、検出器として利用されるものの組合せはどれか。A:再結合領域 B:電離箱領域 C:比例計数管領域 D:GM計数管領域,A、B,A、C,B、C,B、D,C、D,e,気体増幅が生じるのは比例計数管領域とGM計数管領域である。
3,放射線検出器とそれに関係の深い用語との組合せとして、正しいものはどれか。,比例計数管…窒息現象,フリッケ線量計…充電,GM計数管…グロー曲線,シンチレーション検出器…空乏層,半導体検出器…固体電離箱,e,半導体検出器は固体電離箱とも呼ばれる。
4,GM計数管に関する次の記述のうち、誤っているものはどれか。,GM計数管では、入射する放射線が非常に多くなると、弁別レベル以下の放電が連続し、出力パルスが得られなくなる現象が起こる。,GM計数管の電離気体としては、通常、アルゴンなどの貴ガス(希ガス)が用いられる。,GM計数管には、放射線によって生じる放電を短時間で消滅させるため、消滅ガスとして、少量のアルコール又はハロゲンガスが混入される。,出力されたパルス波高は、入射放射線のエネルギーに比例する。,GM計数管には、放射線が入射してもパルス信号が検出できない時間があり、これを不感時間という。,d,GM計数管の出力パルス波高は入射放射線のエネルギーに比例しない。すべての放射線に対してほぼ一定の出力を示す。
5,サーベイメータに関する次の記述のうち、誤っているものはどれか。,NaI(Tl)シンチレーション式サーベイメータは、入射エックス線のエネルギー分析における分解能が半導体式サーベイメータに比べて優れている。,NaI(Tl)シンチレーション式サーベイメータは、後方からのエックス線に対して検出効率が低い。,NaI(Tl)シンチレーション式サーベイメータは、30keV程度のエネルギーのエックス線の測定には適していない。,電離箱式サーベイメータは、エネルギー依存性及び方向依存性が小さいので、散乱線の多い区域の測定に適している。,半導体式サーベイメータは、20keV程度のエネルギーのエックス線の測定には適していない。,a,半導体式サーベイメータの方がNaI(Tl)シンチレーション式よりエネルギー分解能が優れている。
6,被ばく線量を測定するための放射線測定器に関する次の記述のうち、誤っているものはどれか。,熱ルミネセンス線量計(TLD)は、放射線照射後、素子を加熱することによって発する蛍光の強度から線量を読み取る線量計で、線量を読み取ると素子から情報が消失してしまうので、再読み取りができない。,電離箱式PD型ポケット線量計は、充電により先端がY字状に開いた石英繊維が放射線の入射により閉じてくることを利用した線量計である。,光刺激ルミネセンス(OSL)線量計は、輝尽性蛍光を利用した線量計で、素子には炭素添加酸化アルミニウムなどが用いられている。,蛍光ガラス線量計は、放射線により生成された蛍光中心に緑色のレーザー光を当て、発生する蛍光を測定することにより、線量を読み取る。,電荷蓄積式(DIS)線量計は、不揮発性メモリ素子(MOSFETトランジスタ)を電離箱の構成要素の一部とした線量計である。,d,蛍光ガラス線量計は紫外線を当てて蛍光を測定する。緑色のレーザー光ではない。
7,放射線の測定などについての用語に関する次の記述のうち、正しいものはどれか。,半導体検出器において、放射線が半導体中で1個の電子・正孔対を作るのに必要な平均エネルギーをε値といい、シリコン結晶の場合は、約3.6eVである。,気体に放射線を照射したとき、1個のイオン対を作るのに必要な平均エネルギーをW値といい、気体の種類にあまり依存せず、放射線のエネルギーに応じてほぼ一定の値をとる。,線量率計の積分回路の時定数は、線量率計の指示の即応性に関係した定数で、時定数の値を小さくすると、指示値の相対標準偏差は小さくなるが、応答速度は遅くなる。,入射放射線の線量率が低く、測定器の検出限界に達しないことにより計測されないことを数え落としという。,放射線測定器の指針が安定せず、ゆらぐ現象をフェーディングという。,a,シリコン半導体のε値は約3.6eVである。
8,GM計数管式サーベイメータにより放射線を測定し、1500cpsの計数率を得た。GM計数管の分解時間が100μsであるとき、真の計数率(cps)に最も近い値はどれか。,1300,1450,1550,1650,1750,e,真の計数率n=m/(1-mτ)=1500/(1-1500×0.0001)=1500/0.85≒1765より約1750cps。
9,ある放射線測定器を用いてt秒間放射線を測定し、計数値Nを得たとき、計数率の標準偏差(cps)を表すものはどれか。,√N,√N/t,√N/t^2,√(N/t),√(N/t^2),b,計数率の標準偏差は√N/tである。
10,男性の放射線業務従事者が防護衣を着用して放射線業務を行った。胸部(防護衣の下)及び頭・頸部の2か所に放射線測定器を装着して測定した結果、胸部の1cm線量当量は0.4mSv、頭・頸部の1cm線量当量は1.2mSvであった。この業務に従事した間に受けた外部被ばくによる実効線量の算定値に最も近いものはどれか。ただし、防護衣の中は均等被ばくとみなし、HEE=0.08Ha+0.44Hb+0.45Hc+0.03Hmの式を用いる。,0.25mSv,0.30mSv,0.40mSv,0.50mSv,0.60mSv,d,Ha=1.2、Hb=Hc=0.4、Hm=1.2として計算すると0.08×1.2+0.44×0.4+0.45×0.4+0.03×1.2=0.096+0.176+0.18+0.036=0.488≒0.50mSv。
