"id","question","choice_a","choice_b","choice_c","choice_d","answer","explanation"
"1","鉄、銅及びアルミニウムのうち、融点が最も高いものはどれか。","三者ともほぼ同じである","アルミニウム","銅","鉄","d","融点を高い順に並べると、鉄、銅、アルミニウムとなる。アルミニウムの融点が低いことは、溶接が難しい理由の一つとしても知られている。"
"2","鉄、銅及びアルミニウムのうち、比重が最も大きいものはどれか。","アルミニウム","銅","鉄","三者ともほぼ同じである","b","比重を大きい順に並べると、銅、鉄、アルミニウムとなる。比重の順番は、おおむね周期律表の原子番号の順に一致している。"
"3","金属の比重に関する記述のうち、正しいものはどれか。","亜鉛の比重は鉄や銅より大きい","比重は結晶構造とは全く無関係である","アルミニウムの比重は鉄の約3倍である","亜鉛の比重は鉄や銅より小さい","d","亜鉛は周期律表では鉄や銅の後に出てくるが、融点が420℃と低く常温でも原子間隔が広いため、比重は鉄や銅より小さい。"
"4","金属の結晶構造の種類として、正しい組合せはどれか。","面心立方格子、正方格子、菱面体格子","体心立方格子、面心立方格子、最密立方格子","体心立方格子、単斜格子、三斜格子","立方格子、六方格子、非晶質","b","金属の結晶構造には、体心立方格子（bcc）、面心立方格子（fcc）、最密立方格子（稠密立方構造、hcp）の3種類がある。"
"5","体心立方格子の原子配列を説明したものとして、正しいものはどれか。","立方体の八つの角隅に1個ずつと、六つの面の中心に1個ずつ原子が配列している","立方体の角隅にのみ原子が配列している","六角形の角隅と中心に1個ずつと、上面と下面の中間に3個の原子が配列している","立方体の八つの角隅に1個ずつと、立方体の中心に1個の原子が配列している","d","体心立方格子は、立方体の八つの角隅に1個ずつと、立方体の中心に1個の原子が配列した構造である。常温での鉄（α鉄）やMoなどがこれにあたる。"
"6","面心立方格子の原子配列を説明したものとして、正しいものはどれか。","立方体の角隅にのみ原子が配列している","立方体の八つの角隅に1個ずつと、立方体の中心に1個の原子が配列している","六角形の角隅と中心に1個ずつと、上面と下面の中間に3個の原子が配列している","立方体の八つの角隅に1個ずつと、六つの面の中心に1個ずつ原子が配列している","d","面心立方格子は、立方体の八つの角隅に1個ずつと、六つの面の中心に1個ずつ原子が配列した構造である。"
"7","体心立方格子をもつ金属はどれか。","マグネシウム","アルミニウム","銅","常温での鉄（α鉄）","d","常温での鉄（α鉄）やMoなどが体心立方格子である。アルミニウム、銅は面心立方格子、マグネシウムは最密立方格子である。"
"8","面心立方格子をもつ金属の組合せとして、正しいものはどれか。","すず、鉛、亜鉛","アルミニウム、銅、ニッケル","α鉄、モリブデン、タングステン","亜鉛、マグネシウム、チタン","b","アルミニウム、銅、ニッケル、鉛、金、銀などが面心立方格子である。また、高温におけるγ鉄もこれにあたる。"
"9","最密立方格子（稠密立方構造）をもつ金属の組合せとして、正しいものはどれか。","α鉄、モリブデン","アルミニウム、銅","亜鉛、マグネシウム、チタン","ニッケル、鉛","c","亜鉛、マグネシウム、チタンなどが最密立方格子（hcp）である。"
"10","3種類の結晶構造のうち、原子の密度が最も低いものはどれか。","最密立方格子","体心立方格子","三者とも同じである","面心立方格子","b","3つの結晶構造の中では体心立方格子が最も原子の密度が低い。このため、温度によって結晶構造が変化すると体積も変化する。"
"11","変態に関する記述のうち、同素変態の説明として正しいものはどれか。","金属が酸化する現象をいう","水が氷になる現象をいう","純金属が温度によって結晶構造を変える現象をいう","合金が2相に分離する現象をいう","c","同素変態とは、同じ化学物質が異なる形質をとる固体でのその変化をいい、純金属が温度によって結晶構造を変えることが同素変態にあたる。"
"12","同素変態を生じる金属はどれか。","鉄","ニッケル","アルミニウム","銅","a","同素変態が生じる金属にはFe（鉄）やSn（錫）などがあり、Al（アルミニウム）やCu（銅）などは同素変態を生じない。"
"13","純鉄のA3変態点の温度として、正しいものはどれか。","723℃","768℃","910℃","1390℃","c","純鉄を加熱するとき、A3変態点（910℃）で体心立方格子から面心立方格子へ変態する。"
"14","純鉄のA4変態点の温度として、正しいものはどれか。","723℃","910℃","1390℃","1536℃","c","A4変態点（1390℃）で面心立方格子から体心立方格子へ変態する。これ以上の温度の純鉄をδ鉄という。"
"15","純鉄のA2変態点（768℃）で起こる現象として、正しいものはどれか。","融解が始まる","結晶構造も磁気特性も変化する","結晶構造が体心立方格子から面心立方格子に変化する","磁気特性は変化するが、結晶構造は変化しない","d","A2変態点（768℃）では磁気特性は変化するが、結晶構造は変化しない。これを磁気変態（A0変態）ともいう。"
"16","純鉄を冷却してA3変態点を通過するときの体積変化として、正しいものはどれか。","膨張する","収縮した後に膨張する","収縮する","変化しない","a","冷却時のA3変態点では、原子の密度の高い面心立方格子から、より密度の低い体心立方格子に変化するため体積は膨張する。"
