id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,放射線によるDNAの損傷と修復に関する次の記述のうち、正しいものはどれか。,放射線によるDNA損傷には、塩基損傷とDNA鎖切断があるが、間接電離放射線では、塩基損傷は生じない。,DNA鎖切断のうち、二重らせんの片方だけが切れる1本鎖切断は、細胞死などの重篤な細胞障害に関連が深い。,細胞には、DNA鎖切断を修復する機能があり、修復が誤りなく行われれば、細胞は回復し、正常に増殖を続けるが、塩基損傷を修復する機能はない。,DNA鎖切断の修復方式のうち、非相同末端結合修復は、DNA切断端どうしを直接結合する方式である。,DNA鎖切断のうち、2本鎖切断はDNA鎖の組換え現象が利用されるため、1本鎖切断に比べて容易に修復される。,d,非相同末端結合修復はDNA切断端を直接結合する修復方式である。
2,次のAからCの人体の組織・器官について、放射線感受性の高いものから順に並べたものはどれか。A:皮脂腺 B:甲状腺 C:神経組織,A、B、C,A、C、B,B、A、C,B、C、A,C、A、B,a,放射線感受性は皮脂腺>甲状腺>神経組織の順に高い。
3,放射線の生体影響などに関する次の記述のうち、正しいものはどれか。,線量率効果とは、同じ線量を照射する場合に、線量率を低くすると、生物効果が小さくなることをいう。,全致死線量は、半致死線量の2倍に相当する線量であり、この線量を被ばくした個体は数時間～数日のうちに死亡する。,半致死線量は、被ばくした集団の全ての個体が一定の期間内に死亡する最小線量の50%に相当する線量である。,生物効果比(RBE)は、基準となる放射線と問題にしている放射線について、各々の同一線量を被ばくしたときの集団の生存率の比により、線質の異なる放射線の生物効果の大きさを比較したものである。,線エネルギー付与(LET)とは、物質中を放射線が通過するとき、荷電粒子の飛跡に沿って単位長さ当たりに物質に与えられるエネルギーをいい、エックス線は高LET放射線に分類される。,a,線量率効果は線量率が低いと生物効果が小さくなる現象である。
4,ヒトが一時に全身にエックス線の照射を受けた場合の早期影響に関する次の記述のうち、誤っているものはどれか。,1～2Gy程度の被ばくで、放射線宿酔の症状が現れることがある。,被ばくから死亡までの期間は、一般に造血器官の障害による場合の方が、消化器官の障害による場合より長い。,3～5Gy程度の被ばくによる死亡は、主に造血器官の障害によるものである。,消化器官の障害を主因とする死亡までの期間は、5～20日程度である。,5～10Gy程度の被ばくによる死亡は、主に中枢神経系の障害によるものである。,e,5～10Gyでは消化器官の障害が主因。中枢神経系の障害は10Gy以上。
5,エックス線の直接作用と間接作用に関する次の記述のうち、誤っているものはどれか。,エックス線による直接作用では、エックス線によって飛び出した二次電子が生体高分子の電離又は励起を引き起こし、生体高分子に損傷を与える。,エックス線による間接作用では、エックス線によって飛び出した二次電子が水分子の電離又は励起を引き起こしてラジカルを生成し、そのラジカルが生体高分子に損傷を与える。,低温下では、直接作用による放射線効果は減少するが、間接作用による放射線効果は影響を受けない。,生体中にシステインなどのSH基をもつ化合物が存在するとエックス線の生物効果が軽減されることは、間接作用により説明される。,溶液中の酵素の濃度を変えて一定線量のエックス線を照射するとき、酵素の濃度が減少するに従って、酵素の全分子のうち不活性化される分子の占める割合が増加することは、間接作用により説明される。,c,低温下では間接作用も減少する。ラジカルの拡散が抑制されるため。
6,生物効果比(RBE)に関する次のAからDの記述について、正しいものの組合せはどれか。A:RBEを求めるときの基準放射線としては、通常、アルファ線が用いられる。B:RBEの値は、同じ線質の放射線であっても、着目する生物効果、線量率などの条件によって異なる。C:エックス線は、そのエネルギーの高低にかかわらず、RBEが1より小さい。D:RBEは、放射線の線エネルギー付与(LET)の増加とともに増大し、100keV/μm付近で最大値を示すが、更にLETが大きくなるとRBEは減少していく。,A、B,A、C,B、C,B、D,C、D,d,BとDが正しい。基準放射線はエックス線かガンマ線。
7,エックス線被ばくによる末梢血液中の血球の変化に関する次の記述のうち、誤っているものはどれか。,末梢血液中の赤血球の減少は貧血を招き、白血球の減少は止血機能の低下を招く原因となる。,末梢血液中の血球数の減少は、250mGy程度の被ばくから認められる。,末梢血液中の白血球のうち、リンパ球は他の成分より放射線感受性が高く、被ばく直後から減少が現れる。,末梢血液中のリンパ球を除く白血球は、被ばく直後は一時的に増加が認められることがある。,末梢血液中の血球のうち、被ばく後減少が現れるのが最も遅いものは赤血球である。,a,白血球の減少は感染防御能の低下を招く。止血機能の低下は血小板の減少による。
8,エックス線被ばくによる放射線皮膚炎の症状に関する次のAからDの記述について、正しいものの組合せはどれか。A:0.2Gyの被ばくでは、皮膚の充血や腫脹がみられる。B:3Gyの被ばくでは、軽度の紅斑や一時的な脱毛がみられる。C:5Gyの被ばくでは、水疱や永久脱毛がみられる。D:25Gyの被ばくでは、進行性びらんや難治性の潰瘍がみられる。,A、B,A、C,B、C,B、D,C、D,d,BとDが正しい。0.2Gyでは症状は出ない。5Gyでは紅斑や一時的脱毛程度。
9,次のAからDの放射線影響について、その発症にしきい線量が存在するものの全ての組合せはどれか。A:白血病 B:永久不妊 C:皮膚炎 D:胎児奇形,A、B、D,A、C,A、D,B、C,B、C、D,e,白血病は確率的影響でしきい値なし。永久不妊、皮膚炎、胎児奇形は確定的影響でしきい値あり。
10,放射線による遺伝的影響等に関する次のAからDの記述について、正しいものの全ての組合せはどれか。A:生殖細胞の突然変異には、遺伝子突然変異と染色体異常がある。B:染色体異常には、逆位、転座などがある。C:生殖腺が被ばくしたときに生じるおそれのある障害には、遺伝的影響のほか、身体的影響に分類されるものがある。D:放射線照射により、突然変異率を自然における値の2倍にする線量を倍加線量といい、ヒトでは約0.05Gyである。,A、B,A、B、C,A、C,B、C、D,B、D,b,A、B、Cが正しい。倍加線量は約1Gyであり、0.05Gyは誤り。
