id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
1,次の文は、厚さ測定に用いる二振動子垂直探触子を測定物に接触させた状態で走査することが好ましく ない主な理由を述べたものである。正しいものを一つ選び、記号で答えよ。,探触子の周波数が不安定になり、表示が不安定になる。,探触子のくさびが摩耗、劣化及び損傷し、表示が不安定になる。,探触子のダンパが摩耗し、表示が不安定になる。,接触媒質が一定の厚さにならないため、測定できなくなる。,b,探触子の接触方法は、測定面に接触媒質を塗布し、探触子を適切な 圧力で測定面に接触させ、安定な表示値が得られるようにする。 また、二振動子垂直探触子を使用中に、探触子の向きを変えたり、 移動する場合には、その都度測定面から探触子を離して行う。これ は、表面粗さの影響で遅延材が傷ついたり、すり減ったりすること による精度への影響を防ぐための規定である。,
2,次の図は、鋼試験体にエポキシコーティングを行った概念図を示したものである。コーティング上から 厚さ測定した結果、厚さ計表示値は15.7ｍｍと表示された。鋼試験体の厚さは何ｍｍか、正しいものを 一つ選び、記号で答えよ。ただし、コーティング厚さは0.9ｍｍ、鋼の音速5900ｍ/ｓ、エポキシ樹脂 の音速2700ｍ/ｓとする。,12.1,13.1,13.7,15.3,c,ｺｰﾃｨﾝｸﾞの音速は鋼の音速に比べてはるかに遅いので、ｺｰﾃｨﾝｸﾞの厚 さが厚いほど実際の厚さとの差は大きくなる。例えば、ｺｰﾃｨﾝｸﾞの 音速が鋼の音速の半分であれば、ｺｰﾃｨﾝｸﾞの厚さ1mm に対する表示 は2mm になる。従って、この方法で厚さ測定を実施するには、ｺｰﾃｨ ﾝｸﾞの音速とｺｰﾃｨﾝｸﾞの厚さを前もって確認した上で、以下のように 計算することができる。 ｺｰﾃｨﾝｸﾞの厚さ0.9mm を鋼の厚さに換算すると、 0.9mm ： 2700m/s ＝ χ : 5900m/s⇒ χ ＝ 0.9×5900/2700 実際の鋼の厚さは、表示値からχを引いた値であるから 表示値15.7mm – (0.9×5900/2700) = 13.7mm 以上の計算をまとめると、 Ｄ＝Ｄｍ － (Ｄｃ × Ｃ/Ｃｃ) で求めることができる。 ここで、Ｄ：測定物の厚さ(mm)、Ｄｍ：厚さ計の表示値(mm) Ｄｃ：ｺｰﾃｨﾝｸﾞの厚さ(mm)、Ｃ：鋼の音速(m/s) Ｃc:ｺｰﾃｨﾝｸﾞの音速(m/s),ut_2022_04_q2.png
3,次の文は、超音波探傷試験を行う目的について述べたものである。適切なものを一つ選び、記号で答え よ。,生産工程を変更するために、超音波探傷試験を行う。,生産工程の品質管理のために、超音波探傷試験を行う。,生産工程の省力化のために、超音波探傷試験を行う。,生産工程の技術力の向上のために、超音波探傷試験を行う。,b,非破壊試験の役割は、品質管理を目的としたものと品質保証を目的 としたものがある。品質管理は、品質を造り込むために、製造ﾌﾟﾛｾ ｽの中間段階で実施される。製造情報を速やかに把握して、製造の 前工程へのﾌｨｰﾄﾞﾊﾞｯｸと後工程へﾌｨｰﾄﾞﾌｫﾜｰﾄﾞにより、品質異常品の 大量発生の防止・製造技術の改善・工程能力の向上及びきず部の除 去などを行う。製造途中の段階で検査して欠陥部を除くことは、後 工程での無駄を省くことになり、品質向上に大きく寄与することが できる。,
4,次の文は、JIS Z 2305 に基づく超音波探傷試験技術者レベル2 の役割について述べたものである。 正しいものを一つ選び、記号で答えよ。,日常、レベル1 技術者に対して訓練・指導する責任はあるが、新しく資格を取得したレベル2 技術者に 対して訓練・指導を行ってはならない。,レベル2 技術者は、超音波探傷試験方法の適用限界を決定することはできない。,レベル2 技術者は、超音波探傷試験を実施するか、又はレベル1 技術者が実施する超音波探傷試験を監 督しなければならない。,超音波探傷試験結果を取りまとめて報告し、超音波探傷試験設備と職員についての全責任を持たなけれ ばならない。,c,ﾚﾍﾞﾙ2 に認証された技術者はNDT 手順に従ってNDT を実施する力 量を実証している。雇用主はレベル2 技術者に、資格証明書に明記 された力量の範囲で、つぎの項目を実施する許可を与えてよい。 a）使用するNDT 方法に適用するNDT 技法を選択する。 b) NDT 方法の適用制限を明確にする。 c）NDT ｺｰﾄﾞ、規格、仕様書及び手順を、実際の作業条件に適した NDT 指示書に書き換える。 d）装置の調整及びその検証を行う。 e）NDT を実施し、監督する。 f）適用される規格、ｺｰﾄﾞ、仕様書又は手順書に従って結果を解釈 し、評価する。 g）ﾚﾍﾞﾙ2 又はそれより下のﾚﾍﾞﾙの全ての作業を実施し、監督する。 h）ﾚﾍﾞﾙ2 又はそれより下の技術者を指導する。 i）NDT 結果を報告する。,
5,次の文は、JIS Z 3060 の適用範囲について述べたものである。正しいものを一つ選び、記号で答えよ。,JIS Z 3060 では、厚さ6mm 以上のフェライト系の鋼の完全溶込み溶接部の超音波探傷試験方法及び分類 方法を規定している。,オーステナイト系ステンレス鋼溶接部の超音波探傷では、JIS Z 3060 をそのまま適用することができ る。,JIS Z 3060 では、厚さ13mm 以上のフェライト系の鋼及びオーステナイト系の鋼の完全溶込み溶接部の 垂直探傷について規定している。,JIS Z 3060 では、厚さ6mm 以上のフェライト系の鋼の完全溶込み溶接部の自動探傷についても規定して いる。,a,JIS Z 3060 の適用範囲では、『厚さ6mm 以上のﾌｪﾗｲﾄ系鋼の完全溶込 み溶接部を、超音波ﾊﾟﾙｽを用いた基本表示の超音波探傷器で、超音波 探傷試験を手動で行う場合のきずの検出方法、位置及び寸法の測定 方法について規定する。ただし、鋼管の製造工程中の継手溶接部には 適用しない。』との記載がある。,
6,次の文は、JIS Z 3060 に規定する超音波探傷装置の測定、調整及び点検について述べたものである。 正しいものを一つ選び、記号で答えよ。,JIS Z 3060 では、探傷器の定期点検は探傷作業の開始時のみ実施する。,JIS Z 3060 では、入射点、屈折角、測定範囲及び探傷感度の調整及び点検は作業開始時にのみ行う。,JIS Z 3060 では、探傷器の定期点検は、6 か月に1 回実施する。,JIS Z 3060 では、入射点、屈折角、測定範囲及び探傷感度の調整及び点検は、作業開始時と4 時間以内 ごと及び作業終了時に行う。,d,JIS Z 3060 では、「9.1.7 探傷装置の測定、調整及び点検」で 『入射点、STB 屈折角、測定範囲及び探傷感度は、作業開始時に測定 及び調整する。また、これらは作業開始後4 時間以内ごと及び作業終 了時に点検し、これらの条件の変化量を確認する。』とある。,
7,次の文は、音響インピーダンスについて述べたものである。正しいものを一つ選び、記号で答えよ。,音響インピーダンスは、比重と音速の積で表わされる。,音響インピーダンスは、密度と音速の積で表わされる。,音響インピーダンスは、波長と密度の積で表わされる。,音響インピーダンスは、振動数と比重の積で表わされる。,b,音響ｲﾝﾋﾟｰﾀﾞﾝｽ(Ｚ)＝ρＣ ρ：密度 Ｃ：音速 で求まる。,
8,"次の文は、音圧反射率について述べたものである。[１]に適する数値を一つ選び、記号で答えよ。 ただし、答は小数点以下第２位を四捨五入せよ。 片側に銅をクラッドした鋼板を鋼の側から周波数5MHz の探触子で垂直探傷した。境界面における接合 が完全であっても、境界面エコーが現れる。境界面における音圧反射率は[１]％となる。なお、材料の 定数は次のとおりである。 材 質 鋼 銅 音 速 5,900 m/s 4,700 m/s 密 度 7.8 g/cm３ 8.9 g/cm３",2.4,2.9,4.8,9.6,c,"音圧反射率ｒ ＝P /P ＝(Z －Z )/(Z ＋Z )より １→２ Ｒ Ｉ ２ １ １ ２ 鋼：Z ＝5,900×7,800＝ 46.02×10６kg/ｍ２ｓ １ 銅：Z ＝4,700×8,900＝ 41.83×10６kg/ｍ２ｓ ２ (41.83×10６－46.02×10６)/(46.02×10６＋41.83×10６)＝0.04769 →4.8％ Z <Z の時、計算結果はﾏｲﾅｽであるが、位相の反転だけなので、負号 ２ １ は無視する。",
9,"次の文は、垂直探傷における超音波の反射と通過について述べたものである。［１］に適する数値を 一つ選び、記号で答えよ。ただし、小数点以下第1 位を四捨五入せよ。 局部水浸法で厚さ30mm の鋼板を垂直探傷し、表面エコー高さを100％に調整したときの第1 回底面エ コー高さは［１］％となる。ただし、材料中の減衰及び音場の拡散は考慮に入れないものとする。また、 鋼材の密度は7.8ｇ/cm３、縦波音速は5,920m/s、水の密度は1ｇ/cm３、音速は1,480m/s とする。",6,12,13,94,c,音響ｲﾝﾋﾟｰﾀﾞﾝｽ Ｚ＝ρ×Ｃ（ρ：密度、Ｃ：音速） Ｚ＝1.0×1.48＝1.48（水） Ｚ＝7.8×5.92＝46.18（鋼） 1 2 水から鋼への境界面の音圧反射率は ｒ ＝(Ｚ-Ｚ)/(Ｚ+Ｚ)＝(46.18-1.48)/(1.48+46.18)＝0.938 １→２ 2 1 1 2 ⇒表面ｴｺｰ高さｈ =93.8% Ｂ また音圧往復通過率は Ｔ ＝1-ｒ２ ＝1－0.938２≒0.12 １→２ １→２ ⇒底面ｴｺｰ高さｈ =12% Ｂ 表示器上に現れるｴｺｰの大きさは、超音波の受信音圧に比例するの で、表面ｴｺｰ高さｈ を93.8%から100%にすると考えると、 Ｂ 底面ｴｺｰ高さｈ =12%は、93.8：100 = 12：χ Ｂ χ=12×100/93.8=12.79≒13%となる。,
10,次の文は、水から鋼に超音波が入射するときの現象に関する記述である。正しいものを一つ選び、 記号で答えよ。,水から鋼に垂直に入射した場合、水中では横波は伝搬しないため、境界面での反射は生じない。,水から鋼に斜めに入射した場合、水中では横波は伝搬しないため、鋼中に横波は伝搬しない。,縦波臨界角より大きな角度で水から鋼に斜め入射した場合、鋼中には横波だけが伝搬する。,水中の音速は鋼中の横波音速より小さいため、横波臨界角は存在しない。,c,縦波臨界角：屈折縦波が伝搬しないようになるときの入射角（α ） LC 縦波臨界角以上で超音波を入射させれば縦波は伝搬し ない。 横波臨界角：屈折横波が伝搬しないようになるときの入射角（α ） SC 横波臨界角以上で超音波を入射させれば横波は伝搬し ない。 水から鋼に入射する場合の縦波及び横波臨界角はｽﾈﾙの法則より以 下のように求めることができる。 縦波臨界角α ＝sin-（1 C/C ×sin90°）＝sin-（1 1480/5900）≒14.5° LC 1 Ｌ 横波臨界角α ＝sin-（1 C/C ×sin90°）＝sin-（1 1480/3230）≒27.3° SC 1 Ｓ C:水中の縦波音速(m/s)、C：鋼材中の縦波音速(m/s) 1 L C：鋼材中の横波音速(m/s) S 以上の関係を図に表わすと以下のようになる。 このように、縦波臨界角と横波臨界角の間で超音波が入射すると、 屈折横波だけが伝搬する。問題文では「縦波臨界角より大きい」とな っているが、これを正解とした。 （縦波臨界角を超え、更に横波臨界角を超えると横波も伝搬しない）,
