id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,"エックス線に関する次の記述のうち、正しいものはどれか。","エックス線の光子は、電子と同じ質量をもつ。","エックス線は、直接電離放射線である。","連続エックス線は、高エネルギー電子が原子核近傍の強い電場を通過するとき急に減速され、運動エネルギーの一部を電磁波の形で放出するものである。","エックス線管の管電圧と管電流が一定の場合、ターゲット元素の原子番号が大きいほど、連続エックス線の最短波長は短くなる。","制動エックス線は、軌道電子が、エネルギー準位の高い軌道から低い軌道へと遷移するときに発生する。",c,"連続エックス線は、高エネルギー電子が原子核近傍の強い電場を通過するとき急に減速され、運動エネルギーの一部を電磁波の形で放出するものである。"
2,"特性エックス線に関する次の記述のうち、正しいものはどれか。","特性エックス線の波長は、ターゲット元素の原子番号が大きくなると長くなる。","特性エックス線は、原子核のエネルギー準位の遷移に伴い、原子核から放出される。","管電圧が、K系列の特性エックス線を発生させるのに必要な最小値であるK励起電圧を下回るときは、他の系列の特性エックス線も発生することはない。","K殻電子が電離されたことによって特性エックス線が発生することをオージェ効果という。","ターゲット元素がタングステンの場合のK励起電圧は、タングステンより原子番号の小さい銅やモリブデンの場合に比べて高い。",e,"ターゲット元素がタングステンの場合のK励起電圧は、タングステンより原子番号の小さい銅やモリブデンの場合に比べて高い。"
3,"エックス線装置の管電圧を一定にして、管電流を増加させた場合に、発生する連続エックス線に認められる変化として、正しいものは次のうちどれか。","全強度は、管電流に比例して大きくなる。","最大強度を示す波長は、短くなる。","最短波長は、短くなる。","最大エネルギーは、管電流に比例して大きくなる。","発生効率は、管電流にほぼ比例して高くなる。",a,"全強度は、管電流に比例して大きくなる。"
4,"エックス線と物質との相互作用に関する次の記述のうち、正しいものはどれか。","コンプトン効果により散乱されるエックス線の中には、入射エックス線より波長の短いものがある。","コンプトン効果は、必ず特性エックス線の発生を伴う。","光電効果が生じる確率は、入射エックス線のエネルギーが増大すると、コンプトン効果に比べて急激に低下する。","光電効果により光子エネルギーが原子に吸収されて光子は消滅し、このとき入射エックス線に等しい運動エネルギーを持つ電子が放出される。","電子対生成は、入射エックス線のエネルギーが、電子1個の静止質量に相当するエネルギー以上であるときに生じる。",c,"光電効果が生じる確率は、入射エックス線のエネルギーが増大すると、コンプトン効果に比べて急激に低下する。"
5,"単一エネルギーの細いエックス線束が物体を透過するときの減弱に関する次の記述のうち、誤っているものはどれか。","鉄の半価層は、鉛の半価層より大きい。","半価層の値は、エックス線の線量率が高くなっても変化しない。","軟エックス線の場合は、硬エックス線の場合より、半価層の値が小さい。","エネルギーが1MeV程度以下のエックス線に対する鉄の半価層の値は、エックス線のエネルギーが高くなるほど大きくなる。","1/10価層H(cm)と半価層h(cm)との間には、H=log(e)2/log(e)10・hの関係がある。",e,"1/10価層Hと半価層hとの間には、H=log(e)10/log(e)2・h の関係がある。式が逆である。"
6,"エックス線の散乱に関する次の文中の[ ]内に入れるAからCの語句又は数値の組合せとして、正しいものは(1)〜(5)のうちどれか。「エックス線装置を用い、管電圧200kVで、厚さが20mmの鋼板及びアルミニウム板のそれぞれにエックス線のビームを垂直に照射し、散乱角135°の方向の後方散乱線の空気カーマ率を、照射野の中心から2mの位置で測定し、その大きさを比較したところ、[A]の後方散乱線の方が小さかった。次に、同じ照射条件で、鋼板について、散乱角120°及び135°の方向の後方散乱線の空気カーマ率を、照射野の中心から2mの位置で測定し、その大きさを比較したところ、[B]の方向の方が小さかった。また、同じ照射条件で、鋼板について、散乱角30°及び60°の方向の前方散乱線の空気カーマ率を、照射野の中心から2mの位置で測定し、その大きさを比較したところ、[C]の方向の方が小さかった。」","アルミニウム板・120°・60°","アルミニウム板・135°・30°","アルミニウム板・135°・60°","鋼板・120°・60°","鋼板・135°・30°",d,"後方散乱線は原子番号の大きい物質で小さく、後方散乱は120°より135°の方が大きい（つまり120°が小さい）、前方散乱は小さい角度ほど大きい（つまり60°が小さい）。"
7,"単一エネルギーで太い線束のエックス線が物質を透過するときの減弱及び再生係数(ビルドアップ係数)に関する次の記述のうち、誤っているものはどれか。","再生係数は、1未満となることはない。","再生係数は、線束の広がりが大きいほど大きくなる。","再生係数は、入射エックス線のエネルギーや物質の種類によって異なる。","再生係数は、物質の厚さが厚くなるほど大きくなる。","太い線束のエックス線では、細い線束のエックス線より減弱曲線の勾配は緩やかになり、見かけ上、減弱係数が大きくなる。",e,"太い線束のエックス線では、細い線束のエックス線より減弱曲線の勾配は緩やかになり、見かけ上、減弱係数が小さくなる。"
8,"エックス線の利用に関する次のAからDの記述について、正しいものの全ての組合せは(1)〜(5)のうちどれか。A 被検査物体にエックス線を照射し、透過線の強度の違いから内部の構造を調べる手法をラジオグラフィ(透過撮影法)という。B 空港の手荷物検査装置は、被検査物体にエックス線を照射した結果発生する特性エックス線のエネルギーを分析することにより、手荷物の検査を行う装置である。C 後方散乱線を利用する検査方法では、エックス線フィルム(又はエックス線検出器)を、被検査物体の裏側ではなく、エックス線源と同じ側に配置して検査を行う。D 溶接による残留応力など金属にひずみがあると原子が規則正しく並んでいる格子間隔が正常値からずれるので、エックス線の回折を利用して、ひずみの度合いを測定することができる。","A, B, C","A, C, D","A, D","B, C","C, D",b,"A、C、Dが正しい。Bは蛍光エックス線分析の説明であり、空港の手荷物検査装置は透過像を利用している。"
9,"図Iのように、鋼板に垂直に細い線束のエックス線を照射し、エックス線管の焦点から5mの位置で、透過したエックス線の1cm線量当量率を測定したところ、16mSv/hであった。次に図IIのように、この線束を厚さ10mmの鋼板で遮蔽し、同じ位置で1cm線量当量率を測定したところ4mSv/hとなった。この位置における1cm線量当量率を0.5mSv/h以下とするために必要な遮蔽鋼板の最小の厚さは次のうちどれか。ただし、エックス線の実効エネルギーは変わらないものとする。また、散乱線の影響は無いものとする。","15mm","20mm","25mm","30mm","45mm",c,"半価層は10mm（16→4で1/4=2半価層分）。16mSv/hを0.5mSv/h以下にするには1/32以下が必要で、5半価層分=25mmが必要。"
10,"下図のように、エックス線装置を用いて鋼板の透過写真撮影を行うとき、エックス線管の焦点から3mの距離のP点における写真撮影中の1cm線量当量率は0.2mSv/hである。エックス線管の焦点とP点を結ぶ直線上で、焦点からP点の方向に15mの距離にあるQ点を管理区域の境界の外側になるようにすることができる1週間当たりの撮影可能な写真の枚数として、最大のものは(1)〜(5)のうちどれか。ただし、露出時間は1枚の撮影について120秒間であり、3か月は13週とする。","290枚/週","375枚/週","430枚/週","530枚/週","675枚/週",b,"距離の逆二乗則で15mでの線量率を計算し、管理区域基準（1.3mSv/3月）から週あたりの許容時間を求めると、375枚/週となる。"
