id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,エックス線装置を使用する放射線業務従事者が管理区域内において外部被ばくを受けるとき、算定し記録しなければならない線量として、労働安全衛生関係法令上、正しいものはどれか。ただし、緊急作業には従事しないものとする。,5年間において実効線量が1年間につき20mSvを超えたことのある男性の放射線業務従事者の実効線量については、6か月ごと及び5年ごとの合計,5年間において実効線量が1年間につき20mSvを超えたことのない男性の放射線業務従事者の実効線量については、1年ごと及び5年ごとの合計,放射線業務従事者の皮膚に受けた等価線量については、3か月ごと及び1年ごとの合計,1か月間に受ける実効線量が1.7mSvを超えるおそれのない女性の放射線業務従事者の実効線量については、3か月ごと、1年ごと及び5年ごとの合計,妊娠中の女性の放射線業務従事者の腹部表面に受ける等価線量については、3か月ごと及び妊娠中の合計,c,皮膚に受けた等価線量は3か月ごと及び1年ごとの合計を算定し記録する。
2,工業用の特定エックス線装置を用いて放射線装置室で透視を行うときに講ずべき措置について述べた次の文中の空欄A、B、Cに入る語句又は数値の組合せとして正しいものはどれか。「利用線錐中の受像器を通過したエックス線の空気中の[A]が、エックス線管の焦点から[B]mの距離において、[C]μGy/h以下になるようにすること。」,線量当量率・1・30,線量当量率・5・17.4,吸収線量・5・30,空気カーマ率・1・17.4,空気カーマ率・1・30,d,空気カーマ率が焦点から1mの距離で17.4μGy/h以下になるようにする。
3,エックス線装置を取り扱う次のAからEの放射線業務従事者について、管理区域内で受ける外部被ばくによる線量を測定するとき、放射線測定器の装着部位が胸部及び腹部の計2箇所であるものの組合せはどれか。A:最も多く放射線にさらされるおそれのある部位が胸・上腕部であり次に多い部位が腹・大腿部である男性 B:最も多く放射線にさらされるおそれのある部位が腹・大腿部であり次に多い部位が頭・頸部である男性 C:最も多く放射線にさらされるおそれのある部位が手指であり次に多い部位が腹・大腿部である男性 D:最も多く放射線にさらされるおそれのある部位が腹・大腿部であり次に多い部位が胸・上腕部である女性 E:最も多く放射線にさらされるおそれのある部位が胸・上腕部であり次に多い部位が手指である女性,A、C,A、D,B、D,B、E,C、E,d,Bは腹部と頭・頸部、Eは胸部と腹部の2箇所に装着が必要。
4,エックス線作業主任者に関する次の記述のうち、労働安全衛生関係法令上、正しいものはどれか。,エックス線作業主任者は、エックス線装置を用いて放射線業務を行う事業場ごとに1人選任しなければならない。,診療放射線技師免許を受けた者又は原子炉主任技術者免状若しくは第一種放射線取扱主任者免状の交付を受けた者は、エックス線作業主任者免許を受けていなくても、エックス線作業主任者として選任することができる。,エックス線作業主任者は、その職務の一つとして、作業場のうち管理区域に該当する部分について、作業環境測定を行わなければならない。,エックス線作業主任者は、その職務の一つとして、外部放射線を測定するための放射線測定器の校正を行わなければならない。,エックス線作業主任者を選任したときは、作業主任者の氏名及びその者に行わせる事項について、作業場の見やすい箇所に掲示する等により、関係労働者に周知させなければならない。,e,エックス線作業主任者を選任したときは関係労働者に周知させなければならない。
5,エックス線装置構造規格に基づき、特定エックス線装置の見やすい箇所に表示しなければならない事項に該当するものはどれか。,製造者名,製造番号,型式検定合格番号,エックス線管の遮蔽能力,設置年月,a,特定エックス線装置には製造者名を表示しなければならない。
6,エックス線装置を用いて放射線業務を行う場合の外部放射線の防護に関する次の措置のうち、電離放射線障害防止規則に違反しているものはどれか。,エックス線装置を設置した放射線装置室について、遮蔽壁を設け、労働者が常時立ち入る場所における外部放射線による実効線量を、1週間につき1mSv以下にするよう管理している。,工業用のエックス線装置を放射線装置室以外の場所で使用するとき、外部放射線による実効線量が1週間につき1mSvを超える場所がなかったので、そのエックス線管の焦点及び被照射体から5m以内の場所に作業に従事する者を立ち入らせている。,特定エックス線装置を使用するとき、照射筒又はしぼりを用いると装置の使用の目的が妨げられるので、どちらも用いていない。,照射中に労働者の身体の一部がその内部に入るおそれのある工業用の特定エックス線装置について、エックス線管に流れる電流が定格管電流の2.5倍に達したときにエックス線管回路が開放位になるように自動装置を設定して、透視の作業を行っている。,装置の外側における外部放射線による1cm線量当量率が20μSv/hを超えないように遮蔽された構造のエックス線装置を、放射線装置室以外の室に設置して使用している。,d,定格管電流の2倍以上で開放位になる必要がある。2.5倍では違反。
7,電離放射線健康診断の実施について、労働安全衛生関係法令に違反しているものはどれか。ただし、労働者は緊急作業に従事しないものとする。,管理区域に一時的に立ち入るが放射線業務に従事していない労働者に対しては、健康診断を行っていない。,雇入れの際の健康診断において、使用する線源の種類等に応じて「白内障に関する眼の検査」を省略している。,放射線業務に配置替えの際に行う健康診断において、被ばく歴のない労働者に対し、医師が必要と認めなかったので、「皮膚の検査」を省略している。,定期の健康診断において、医師が必要でないと認めた労働者に対し、「白血球数及び白血球百分率の検査」を省略している。,放射線業務従事者が離職する際に健康診断を実施していない。,c,配置替えの際の健康診断では、被ばく歴のない者でも皮膚の検査は省略できない。
8,エックス線装置を用いて放射線業務を行う作業場の管理区域に該当する部分の作業環境測定に関する次の文中の空欄A、B、Cに入る語句の組合せとして正しいものはどれか。「作業場のうち管理区域に該当する部分について、[A]以内(エックス線装置を固定して使用する場合において使用の方法及び遮蔽物の位置が一定しているときは、[B]以内)ごとに1回、定期に、作業環境測定を行い、その都度、測定日時、測定箇所、測定結果、[C]等一定の事項を記録し、これを5年間保存しなければならない。」,1か月・3か月・エックス線装置の種類及び型式,1か月・6か月・エックス線装置の種類及び型式,1か月・6か月・測定を実施した者の氏名,6か月・1年・放射線測定器の種類、型式及び性能,6か月・1年・測定を実施した者の氏名,c,1か月以内(固定使用は6か月以内)ごとに測定し、測定を実施した者の氏名等を記録する。
9,エックス線作業主任者免許に関する次の記述のうち、労働安全衛生関係法令上、誤っているものはどれか。,満18歳に満たない者は、免許を受けることができない。,免許証の交付を受けた者で、免許に係る業務に就こうとするものは、氏名を変更したときは、免許証の書替えを受けなければならない。,免許証の交付を受けた者で、免許に係る業務に就こうとするものは、住所を変更したときは、免許証の書替えを受けなければならない。,免許証の交付を受けた者で、免許に係る業務に現に就いているものは、免許証を滅失し、又は損傷したときは、免許証の再交付を受けなければならない。,故意又は重大な過失により、免許に係る業務について重大な事故を発生させたときは、免許の取消し又は6か月以下の免許の効力の停止を受けることがある。,c,住所を変更しても免許証の書替えを受ける必要はない。
10,常時800人の労働者を使用する製造業の事業場における衛生管理体制に関する記述のうち、労働安全衛生関係法令上、誤っているものはどれか。ただし、800人中には重量物の取扱いの業務100人とエックス線装置を用いて行う透過写真撮影の業務20人が含まれているが、その他の有害業務はなく、衛生管理者及び産業医の選任の特例はないものとする。,衛生管理者は、3人以上選任しなければならない。,衛生管理者のうち1人を衛生工学衛生管理者免許を受けた者のうちから選任しなければならない。,衛生管理者のうち少なくとも1人を専任の衛生管理者としなければならない。,産業医は、この事業場に専属でない者を選任することができる。,総括安全衛生管理者を選任しなければならない。,b,この事業場では衛生工学衛生管理者を選任する必要はない。
