id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,エックス線管及びエックス線の発生に関する次の記述のうち、誤っているものはどれか。,エックス線管の内部は、効率的にエックス線を発生させるため、高度の真空になっている。,陰極で発生する熱電子の数は、フィラメント電流を変えることで制御される。,陽極のターゲットはエックス線管の軸に対して斜めになっており、加速された熱電子が衝突しエックス線が発生する領域である実焦点は、これをエックス線束の利用方向から見た実効焦点よりも小さくなる。,連続エックス線の発生効率は、ターゲット元素の原子番号と管電圧の積にほぼ比例する。,管電圧がターゲット元素に固有の励起電圧を超える場合、発生するエックス線は、連続エックス線と特性エックス線が混在したものになる。,c,実焦点は実効焦点より大きくなる。ターゲットが斜めになっているため、利用方向から見た実効焦点は実焦点より小さく見える。
2,特性エックス線に関する次の記述のうち、正しいものはどれか。,特性エックス線の波長は、ターゲット元素の原子番号が大きくなると長くなる。,特性エックス線は、原子核のエネルギー準位の遷移に伴い、原子核から放出される。,管電圧が、K系列の特性エックス線を発生させるのに必要な最小値であるK励起電圧を下回るときは、他の系列の特性エックス線も発生することはない。,K殻電子が電離されたことによって特性エックス線が発生することをオージェ効果という。,K系列の特性エックス線は、エックス線管の管電圧を上げると強度が増大するが、その波長は変わらない。,e,特性エックス線の波長はターゲット元素に固有であり、管電圧を上げても波長は変化しない。強度は増大する。
3,エックス線装置について、次のAからDのように条件を変化させるとき、発生する連続エックス線の全強度を大きくするものの全ての組合せはどれか。A:管電流は一定にして管電圧を2倍にする。B:管電圧は1/2にして管電流を2倍にする。C:管電圧は2倍にして管電流を1/2にする。D:管電圧及び管電流は一定にしてターゲットを原子番号のより大きな元素にする。,A、B,A、C,A、C、D,B、C、D,B、D,c,連続エックス線の全強度は管電圧の2乗と管電流とターゲット原子番号に比例する。Aは4倍、Cは2倍、Dも増加するので強度が大きくなる。
4,エックス線と物質との相互作用に関する次の記述のうち、正しいものはどれか。,レイリー散乱により散乱されたエックス線の波長は、入射エックス線の波長より長くなる。,光電効果が生じる確率は、入射エックス線のエネルギーが増大すると、コンプトン効果に比べて急激に低下する。,光電効果により原子から放出される電子の運動エネルギーは、入射エックス線のエネルギーに等しい。,コンプトン効果とは、原子のK殻、L殻等の内殻電子がエックス線光子のエネルギーの一部を吸収して原子の外に飛び出し、入射エックス線が散乱される現象である。,コンプトン効果によるエックス線の散乱は、入射エックス線のエネルギーが高くなると、前方より後方に多く生じるようになる。,b,光電効果はエネルギーが高くなると急激に減少し、コンプトン効果が支配的になる。
5,単一エネルギーで太い線束のエックス線が物質を透過するときの減弱及び再生係数(ビルドアップ係数)に関する次の記述のうち、誤っているものはどれか。,再生係数は、入射エックス線のエネルギーや物質の種類によって異なる。,再生係数は、物質への照射面積が大きいほど大きくなる。,再生係数は、物質の厚さが薄くなるほど小さくなる。,再生係数は、透過後、物質から離れるほど小さくなり、その値は1に近づく。,再生係数は、入射エックス線の線量率が高くなるほど小さくなる。,e,再生係数は線量率には依存しない。エネルギー、物質の種類、厚さ、照射面積などに依存する。
6,エックス線を利用した各種試験装置に関する次の記述のうち、誤っているものはどれか。,蛍光エックス線分析装置は、物質を透過したエックス線を蛍光体を塗布した板の上に当てたときにできる蛍光像を観察することによって、物質の欠陥の程度などを識別する装置である。,エックス線マイクロアナライザーは、細く絞った電子線束を試料の微小部分に照射し、発生する特性エックス線を分光することによって、微小部分の元素を分析する装置である。,エックス線回折装置は、結晶質の物質にエックス線を照射すると特有の回折像が得られることを利用して、物質の結晶構造を解析し、物質の性質を調べる装置である。,エックス線応力測定装置は、応力による結晶の面間隔の変化をエックス線の回折を利用して調べることにより、物質内の残留応力の大きさを測定する装置である。,散乱型厚さ計は、被検査物体にエックス線を照射したときに発生する後方散乱線の強度が、被検査物体の厚さに応じて変化することを利用した装置である。,a,蛍光エックス線分析装置は、物質に一次エックス線を照射し、発生する二次エックス線(蛍光エックス線)を分析して元素分析を行う装置である。
7,エックス線の散乱に関する次の文中の空欄A、B、Cに入る語句の組合せとして正しいものはどれか。鋼板とアルミニウム板の後方散乱線を比較すると[A]の方が大きく、鋼板の散乱角120度と135度を比較すると[B]の方が大きく、鋼板の散乱角30度と60度を比較すると[C]の方が大きい。,鋼板・120度・60度,鋼板・135度・30度,鋼板・135度・60度,アルミニウム板・120度・60度,アルミニウム板・135度・30度,e,後方散乱線は原子番号の小さい物質で大きく、後方散乱は135度付近で最大、前方散乱は小さい角度ほど大きい。
8,エックス線装置を用いて透過写真撮影を行う場合のエックス線の遮蔽及び散乱線の低減に関する次の記述のうち、誤っているものはどれか。,遮蔽体には、原子番号が大きく、密度の高い物質を用いるのがよい。,コンクリートの遮蔽体は、同程度の遮蔽効果を得るために鉛の約2倍の厚さが必要であるが、施工が容易で安価であるため広く用いられている。,照射筒は、照射口に取り付けるラッパ状の遮蔽体で、エックス線束及び散乱線が外部へ漏えいしないようにするために用いる。,絞りは、エックス線束の広がりを制限し、エックス線を必要な部分にだけ照射するために用いる。,ろ過板は、軟エックス線を硬化させる。,b,コンクリートは鉛の約10倍の厚さが必要である。2倍ではない。
9,図のように鋼板にエックス線を照射し、5mで64mSv/h、10mm鋼板で遮蔽後10mで2mSv/hとなった。0.5mSv/h以下にするために必要な遮蔽鋼板の最小の厚さはどれか。,14mm,17mm,20mm,23mm,27mm,b,距離の逆二乗則と半価層の計算から、17mmが最小厚さとなる。
10,エックス線装置を用いて鋼板の透過写真撮影を行うとき、焦点から4mのP点で0.4mSv/h、露出時間120秒、週300枚撮影する場合、管理区域の境界線外となるQ点までの最小距離はどれか。,12m,17m,22m,26m,32m,d,管理区域の基準(1.3mSv/3月)から計算すると26mが最小距離となる。
