id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation
1,磁粉探傷試験が適用できない材料はどれか。,炭素鋼,低合金鋼,オーステナイト系ステンレス鋼,ニッケル鋼,c,オーステナイト系ステンレス鋼は非磁性材料であるため、磁粉探傷試験は適用できない。
2,磁粉探傷試験で検出が困難なきずはどれか。,表面割れ,溶接ビード止端部のアンダカット,内部介在物,研削割れ,c,磁粉探傷試験は表面及び表面直下のきず検出に有効であり、内部きずの検出は困難である。
3,磁化の強さHと磁束密度Bの関係を表す曲線はどれか。,正弦曲線,ヒステリシス曲線,双曲線,指数曲線,b,磁化の強さHと磁束密度Bの関係を表す曲線をヒステリシス曲線（磁化曲線）という。
4,試験体を磁化したときの反磁界の影響について、正しい記述はどれか。,試験体の長さが長くなると反磁界は大きくなる,反磁界は試験体の磁化を弱める方向に作用する,反磁界は試験体の磁化を強める方向に作用する,反磁界は試験体の形状に関係しない,b,反磁界は試験体内部に生じる磁界であり、磁化を弱める方向に作用する。試験体の長さが短いほど反磁界は大きくなる。
5,磁粉探傷試験において、検出しやすいきずの方向はどれか。,磁力線に対して平行なきず,磁力線に対して直角なきず,磁力線に対して45度のきず,きずの方向は検出に影響しない,b,磁力線に対して直角方向のきずは磁束漏洩が最大となり、最も検出しやすい。
6,交流磁化の特徴として、正しい記述はどれか。,深い内部きずの検出に適している,表皮効果により表面きずの検出に適している,残留磁化が大きい,脱磁が困難である,b,交流磁化は表皮効果により電流が試験体表面に集中するため、表面きずの検出に適している。
7,磁粉探傷試験の連続法において、磁化電流を切るタイミングはいつか。,磁粉を適用する前,磁粉を適用している最中,磁粉の適用を終え、余分な磁粉を除去した後,検査が完了した後,c,連続法では、磁粉を適用し余分な磁粉を除去してから磁化電流を切る。これにより、きずによる磁粉模様が形成される。
8,残留法が適用できる材料の条件として、正しいものはどれか。,保磁力が小さい材料,保磁力が大きい材料,透磁率が小さい材料,導電率が大きい材料,b,残留法は、磁化を中止しても十分な残留磁気を保持できる保磁力の大きい材料に適用できる。
9,軸通電法の特徴として、正しい記述はどれか。,試験体の軸方向のきずの検出に適している,試験体の周方向のきずの検出に適している,非接触で磁化できる,局部磁化に適している,b,軸通電法では、電流方向に垂直な円周方向に磁界が発生するため、軸方向（周方向）のきずの検出に適している。
10,極間法において、電磁石の極間距離の適正範囲として、一般的に推奨されるものはどれか。,50mm以下,75～200mm,250～300mm,350mm以上,b,極間法において、極間距離は一般的に75～200mmが推奨される。
11,コイル法で磁化する場合、試験体をコイルに対してどのように配置すべきか。,コイルの中心軸に対して直角に配置,コイルの中心軸に沿って配置,コイルの外側に配置,配置の方向は影響しない,b,コイル法では、試験体をコイルの中心軸に沿って配置することで、効率的に縦磁化できる。
12,プロッド法の特徴として、正しい記述はどれか。,全体磁化に適している,局部磁化に適している,周方向磁化に適している,非接触磁化法である,b,プロッド法は、2本の電極（プロッド）を試験体表面に接触させて局部的に磁化する方法である。
13,蛍光磁粉を使用する場合の照明条件として、正しいものはどれか。,明るい白色光下で観察,暗所で紫外線照射下で観察,赤色光下で観察,照明条件は問わない,b,蛍光磁粉は紫外線（ブラックライト）照射下で蛍光を発するため、暗所で紫外線照射下で観察する。
14,湿式法と乾式法の比較において、正しい記述はどれか。,乾式法は微細なきずの検出に適している,湿式法は粗い表面の検査に適している,湿式法は微細なきずの検出に適している,両者に検出能の差はない,c,湿式法は磁粉が検査液中に分散されており、微細なきずへの移動性が良いため、微細なきずの検出に適している。
15,磁粉探傷試験における磁粉濃度の確認方法として、正しいものはどれか。,目視による色の確認,沈殿管による測定,温度計による測定,照度計による測定,b,磁粉濃度は沈殿管（JIS規格では100mLの沈殿管を使用）により測定する。
16,磁粉探傷試験で使用する紫外線照射灯の波長として、適切なものはどれか。,200～280nm,315～400nm,400～500nm,500～600nm,b,蛍光磁粉探傷試験で使用する紫外線照射灯（ブラックライト）の波長は315～400nm（UV-A領域）が適切である。
17,標準試験片（A形標準試験片）の主な用途として、正しいものはどれか。,磁粉の感度確認,有効磁界の方向と強さの確認,紫外線強度の確認,磁粉濃度の確認,b,A形標準試験片は、試験体表面における有効磁界の方向と強さを確認するために使用する。
18,磁粉探傷試験において、きず以外で磁粉模様を生じる原因として、適切でないものはどれか。,材質の局部的変化,断面形状の急変部,試験体の温度変化,溶接境界部,c,試験体の温度変化は疑似模様の原因とはならない。材質変化、断面急変部、溶接境界部などが疑似模様の原因となる。
19,脱磁の目的として、正しい記述はどれか。,きず検出感度を向上させる,残留磁気による悪影響を防止する,試験体の温度を下げる,磁粉の付着を促進する,b,脱磁は、検査後の残留磁気による後工程（溶接、機械加工など）への悪影響を防止するために行う。
20,交流を用いた脱磁方法として、正しいものはどれか。,一定の交流電流を連続して流す,交流電流を徐々に減少させながら流す,交流電流を徐々に増加させながら流す,直流電流を交互に極性を変えて流す,b,交流減衰法による脱磁では、交流電流を徐々に減少させながら流すことで、ヒステリシスループを徐々に小さくして脱磁する。
21,磁粉探傷試験の前処理として、適切でないものはどれか。,油脂の除去,スケールの除去,塗装の除去,試験体の予熱,d,磁粉探傷試験の前処理として、油脂、スケール、塗装などの除去は必要だが、試験体の予熱は通常必要ない。
22,磁粉探傷試験において、直流磁化と交流磁化の比較として、正しい記述はどれか。,直流磁化は表面きずの検出に優れている,交流磁化は表面下きずの検出に優れている,直流磁化は表面下きずの検出に優れている,両者に差はない,c,直流磁化は浸透深さが深いため表面下きずの検出に優れ、交流磁化は表皮効果により表面きずの検出に優れている。
23,磁粉探傷試験で検出されたきず指示の記録方法として、一般的でないものはどれか。,スケッチ,写真撮影,転写法,X線撮影,d,磁粉探傷試験のきず指示の記録には、スケッチ、写真撮影、転写法などが用いられる。X線撮影は放射線透過試験の方法である。
24,磁粉探傷試験における通電法で、接触不良があった場合に起こりうる問題はどれか。,試験体の脱磁,アークストライクによる損傷,磁粉濃度の低下,紫外線強度の低下,b,通電法で接触不良があると、アークストライクが発生し、試験体表面に熱的損傷を与えることがある。
25,磁粉探傷試験において、複雑な形状の試験体を検査する場合の注意点として、正しいものはどれか。,単一方向の磁化で十分である,異なる方向に磁化して検査する必要がある,磁化電流を小さくする,磁粉濃度を下げる,b,複雑な形状の試験体では、あらゆる方向のきずを検出するため、異なる方向（通常は直交する2方向）に磁化して検査する必要がある。
