id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
1,"エックス線に関する次の記述のうち、誤っているものはどれか。","制動エックス線のエネルギー分布は、連続スペクトルを示す。","特性エックス線は、ターゲットの元素に特有な波長をもつ。","特性エックス線は、原子核のエネルギー準位の遷移に伴い、原子核から放出される。","エックス線は、間接電離放射線である。","エックス線の波長λと振動数νとの間には、光の速度をcとすると、λν＝cの関係が成立する。",c,"特性エックス線は原子核からではなく、軌道電子のエネルギー準位の遷移に伴い放出される。",
2,"エックス線管及びエックス線の発生に関する次の記述のうち、誤っているものはどれか。","エックス線管の管電流は、陽極から陰極に向かって流れる。","陰極で発生する熱電子の数は、フィラメント電流を変えることで制御される。","陽極のターゲットはエックス線管の軸に対して斜めになっており、エックス線が発生する領域である実焦点より、これをエックス線束の利用方向から見た実効焦点の方が小さくなるようにしてある。","管電圧がターゲット元素に固有の励起電圧を超える場合、発生するエックス線は、連続エックス線と特性エックス線が混在したものになる。","連続エックス線の発生効率は、ターゲット元素の原子番号と管電圧の2乗との積にほぼ比例する。",e,"連続エックス線の発生効率は、ターゲット元素の原子番号と管電圧の積（2乗ではない）にほぼ比例する。",
3,"エックス線装置の管電圧を一定にして、管電流を増加させた場合に、発生する連続エックス線に認められる変化として、正しいものは次のうちどれか。","全強度は、管電流に比例して大きくなる。","最大強度を示す波長は、短くなる。","最短波長は、短くなる。","最大エネルギーは、管電流に比例して大きくなる。","線質は、硬くなる。",a,"全強度は、管電流に比例して大きくなる。管電流を変えても最短波長や線質は変化しない。",
4,"次のAからDのエックス線と物質との相互作用について、その作用によって入射エックス線が消滅してしまうものの組合せは(1)〜(5)のうちどれか。A レイリー散乱 B 光電効果 C コンプトン効果 D 電子対生成","A、B","A、C","B、C","B、D","C、D",d,"光電効果と電子対生成では入射エックス線が消滅する。レイリー散乱とコンプトン効果では散乱されるが消滅しない。",
5,"単一エネルギーで太い線束のエックス線が物質を透過するときの減弱及び再生係数(ビルドアップ係数)に関する次の記述のうち、誤っているものはどれか。","再生係数は、入射エックス線のエネルギーや物質の種類によって異なる。","再生係数は、物質への照射面積が大きいほど大きくなる。","再生係数は、物質の厚さが薄くなるほど小さくなる。","再生係数は、透過後、物質から離れるほど小さくなり、その値は1に近づく。","太い線束のエックス線では、散乱線が加わるため、細い線束のエックス線より減弱曲線の勾配は緩やかになり、見かけ上、減弱係数が大きくなる。",e,"太い線束のエックス線では、見かけ上、減弱係数が小さくなる（大きくなるではない）。",
6,"次のAからDの事項について、単一エネルギーの細いエックス線束が、ある厚さの物体を透過するときの減弱係数の値に影響を与えるものの組合せは(1)〜(5)のうちどれか。A 物体を構成する元素の種類 B 物体の厚さ C 入射エックス線のエネルギー D 入射エックス線の強度","A、B","A、C","A、D","B、C","B、D",b,"減弱係数は物体を構成する元素の種類と入射エックス線のエネルギーによって決まる。物体の厚さや入射エックス線の強度には依存しない。",
7,"下図のように、エックス線装置を用いて鋼板の透過写真撮影を行うとき、エックス線管の焦点から3mの距離のP点における写真撮影中の1cm線量当量率は0.5mSv/hである。露出時間が1枚につき90秒の写真を週400枚撮影するとき、エックス線管の焦点とP点を通る直線上で焦点からP点の方向にあるQ点を管理区域の境界線の外側にあるようにしたい。焦点からQ点までの距離として、最も短いものは(1)〜(5)のうちどれか。ただし、3か月は13週とする。","9m","12m","17m","22m","27m",d,"管理区域の基準(1.3mSv/3月)から計算すると22mが最小距離となる。",xr_2024_04_q7.png
8,"エックス線を鋼板に照射したときの散乱線に関する次の文中の[ ]内に入れるAからCの語句の組合せとして、正しいものは(1)〜(5)のうちどれか。「前方散乱線の空気カーマ率は、散乱角が大きくなるに従って[A]し、また、鋼板の板厚が増すに従って[B]する。後方散乱線の空気カーマ率は、エックス線装置の影になるような位置を除き、散乱角が大きくなるに従って[C]する。」","増加・増加・増加","増加・減少・増加","増加・減少・減少","減少・増加・減少","減少・減少・増加",e,"前方散乱線は散乱角が大きくなると減少し、板厚が増すと減少する。後方散乱線は散乱角が大きくなると増加する。",
9,"エックス線を利用する装置とその原理との組合せとして、誤っているものは次のうちどれか。","エックス線マイクロアナライザー ……… 散乱","エックス線単結晶方位測定装置 ……… 回折","蛍光エックス線分析装置 ……… 分光","エックス線応力測定装置 ……… 回折","エックス線CT装置 ……… 透過",a,"エックス線マイクロアナライザーは散乱ではなく、特性エックス線の分光を利用している。",
10,"図のように、検査鋼板に垂直に細い線束のエックス線を照射し、エックス線管の焦点から5mの位置にある測定点Pで、遮蔽板を透過したエックス線の線量当量率を測定した。遮蔽板として鉄を用いたときの測定点Pにおける線量当量率を、厚さ5mmの鉛の遮蔽板を用いたときの線量当量率以下にするために必要な鉄板の厚さとして、最小のものは(1)〜(5)のうちどれか。ただし、鉄及び鉛の密度及びこのエックス線に対する質量減弱係数は、鉄:密度7.8g/cm³、質量減弱係数0.11cm²/g、鉛:密度11.4g/cm³、質量減弱係数0.93cm²/gとする。","22mm","35mm","42mm","45mm","62mm",e,"鉛5mmと同等の遮蔽効果を得るための鉄板の厚さを計算すると、62mmとなる。",xr_2024_04_q9.png
