id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,"次の文は，浸透探傷試験の対象となるきずについて述べたものである。正しいものを選べ。","浸透探傷試験は，試験体表面に開口したきずであれば，どのような材質にも適用して検出することができる。","浸透探傷試験は，表面又は表面近傍のきずであれば，どのようなきずでも検出できる。","きずの大小にかかわらず，表面の近傍であっても内部にあるきずは検出できない。","きずが開口していれば，きずの形状に関係なく検出できる。","",c,"浸透探傷試験は，金属，非金属を問わず開口きずを探傷できるが，多孔質の材料や幅が広く浅いきずなどは検出できない場合がある。"
2,"次の文は，浸透探傷試験について述べたものである。正しいものを選べ。","浸透探傷試験は材料が指定された強度を有するかどうか，引張り強さを調べることができる。","浸透探傷試験は製品の製造時に現れるであろう表面きずの大きさ，深さを測定することができる。","浸透探傷試験は製品の製造条件が正しく守られて製造されたものであるか，或いは使用中に健全性が維持されていたかどうかを，検出されるきずを指標として評価することができる。","浸透探傷試験は機器･構造物の表面及び内面に存在するきずを検出し，これらが破壊により大災害を起こすことを事前に防止することができる。","浸透探傷試験は適用される規格により要求されるものであり，使用者の独自の判断で行われる。",c,"製品又は使用中の保守検査における浸透探傷試験の目的は，いずれも健全性の管理手段として実施することである。"
3,"次の文は，浸透探傷試験について述べたものである。正しいものを選べ。","浸透探傷試験は表面開口きずを検出する最も優れた試験方法であるが，複雑な試験装置が必要であるという欠点がある。","浸透液とか現像剤といった探傷剤が試験の主役であるため，試験結果は探傷技術にはあまり影響されない。","各探傷剤はメーカーが異なった組み合わせであっても用途が同じであるので，問題なく使用できる。","浸透探傷試験に使用される探傷剤はそれぞれの能力を最高に発揮させるように，適用方法，適用条件を正しく守って試験を実施しないと，きず検出能力が著しく低下する試験方法である。","",d,"浸透探傷試験は，複雑な試験装置を必要としない。探傷剤は同じメーカーのものを組合わせる。個々の探傷剤の性質について十分な知識を持っていなければならない。"
4,"次の文は，浸透探傷試験について述べたものである。正しいものを選べ。","浸透探傷試験は表面開口きずを検出することを目的とする。","浸透探傷試験は表面及び表面近くの浅いところにあるきずの検出が可能である。","探傷剤の適用方法，適用条件を正しく守れば，だれが実施しても高いきず検出能力を有している。","浸透探傷試験は全ての割れに対して優れた試験法である。","",a,"浸透探傷試験は表面開口きずを検出することを目的としている。複雑な性質をもった探傷剤を使用するため，個々の探傷剤の性質について十分な知識を持ち，界面現象や指示模様の観察に係わる事象の理解，きずの種類，特性，発生原因など幅広い知識が要求される。"
5,"次の文は，きずの一般的性質について述べたものである。正しいものを選べ。","内部に存在するきずは表面に存在するきずより有害である。","表面に存在するきずは内部に存在するきずより有害である。","表面に存在するきずも内部に存在するきずも有害の度合は変わらない。","表面に存在するきずだけを考慮すべきであり，内部に存在するものは考慮しない。","",b,"部材に力（応力）が加わった場合，部材表面の応力が最大で，内部に行くに従い応力は小さくなる為，表面欠陥が最も有害となる。"
6,"次の文は，磁粉探傷試験と比べて浸透探傷試験の方が有利であると考えられる場合について述べたものである。正しいものを選べ。","鋳造品に発生する円形状のきずが検出対象となる場合。","鍛鋼品に発生する幅の狭い割れが検出対象となる場合。","鋼溶接部に発生する疲労割れが検出対象となる場合。","鋼構造物の溶接部のように，薄い酸化皮膜がある表面を探傷しようとする場合。","",a,"浸透探傷試験は，金属材料，非金属材料を含め，探傷剤で侵されないもの及び吸湿性のないものであればすべての材料・製品の探傷に適用できる。また，探傷ではきずの方向性に関係なく，一度の探傷試験ですべての方向のきずを探傷することができる。磁粉探傷試験はピンホールのような円形状のきずは検出が困難である。"
7,"次の文は，浸透探傷試験を実施する目的について述べたものである。正しいものを選べ。","浸透探傷試験を実施する目的は，表面きずを予め除去しておき，機械加工後の検査を省略することである｡","浸透探傷試験を定期検査で実施する目的は，使用中に材料中のきずが成長しているか，形を変えていないかを知ることも含まれる。","浸透探傷試験を実施する目的は，きずの有無を知ることであり，きずの位置，方向，個数などはあまり必要としない。","浸透探傷試験を実施する目的は，開口した割れを検出することであり，ブローホールやスラグ巻込みなどの検出は必要ではない。","",b,"浸透探傷試験の目的は，製品の健全性の管理手段として，製品が製造条件を正しく守られ製造されたか，使用中も健全性が維持されているかを確認することであり，機械加工後の検査を省略することは目的ではない。"
8,"次の文は，割れの状態による有害性について述べたものである。正しいものを選べ。","材料に割れが検出された場合，割れの成長方向と引張り応力の方向が平行な場合が破壊に対して最も危険である。","割れが進展するかどうかは，加えられた応力の種類と大きさ，材質，割れの存在する位置，先端の形状，大きさなどにより決まる。","同じ形状，大きさの割れの場合，割れの位置が内部にあるほど有害性は高くなる。","同じ形状，大きさの割れの場合，割れの位置が表面に近いほど有害性は低くなる。","割れの先端の形状が丸いほど，応力集中は大きくなり，破壊への危険性は増大する。",b,"割れは，成長方向と直交する方向に引張応力が加えられると，割れ先端で応力集中が起こり割れが進展し，最も危険である。一般的に割れは，表面に近いほど，先端形状が鋭いほど応力集中は大きくなり，破壊への傾向を増大させる。"
9,"次の文は，界面化学に関する基礎理論について述べたものである。正しいものを選べ。","気／液，液／固のように一方が液相である界面を表面と呼ぶ。","液体の表面積を最小にしようとする力は表面張力である。","液体の表面張力は表面を形成している分子の熱エネルギーによるものである。","表面張力とは，液体が固体に付着したときに起きる現象をいう。","",b,"表面：一方が気相である場合で，気/液（水面＝表面），気/固（試験体表面など）の界面である。液体の表面張力とは，表面を形成している自由エネルギーによるもの。また，気体中でも起きる。"
10,"次の文は，浸透液のぬれについて述べたものである。正しいものを選べ。","接触角が90°より大きい場合には，液体が固体表面をぬらすという。","浸透液のぬれは，固/気界面が固/液界面に置き換わることである。","固/液界面に置き換わることは，固体の表面張力が液体の表面張力より小さいことである。","ぬれの程度は液体の表面張力によって決まり，固体の表面張力の影響を受けることはない。","ぬれの程度は液体の種類と固体の種類によって決まり，固体の表面粗さとは関係ない。",b,"液体が固体表面をぬらすのは接触角が90°より小さい場合である。「ぬれ」は固体/気体から固体/液体への置換現象である。液体が持つ表面張力より固体の表面張力が強いと固体表面の気体に液体がとって代わる。「ぬれ」は表面粗さによっても変わる。"
11,"物質はおかれている環境の温度，圧力等で気相，液相，固相の何れかの相を呈している。次の界面のうち表面と呼ばれるものはどれか。正しいものを選べ。","気相／気相の境界を表面と呼ぶ。","液相／固相の境界を表面と呼ぶ。","固相／固相の境界を表面と呼ぶ。","気相／液相の境界を表面と呼ぶ。","",d,"一方が気相である場合（気/液，気/固界面）を表面と言う。ただし，気/気界面は存在しない。"
12,"一般に物質はその置かれている環境の温度，圧力などの相違によって気相，液相及び固相のいずれかの相を呈していて，その界面は5種類ある。次の中から，界面の存在する組合せとして正しいものを選べ。","気/気界面，液/液界面，固/固界面","気/固界面，気/気界面，気/液界面","液/液界面，気/液界面，固/液界面","液/液界面，気/気界面，気/液界面","",c,"存在する5種類の界面は，液/液界面，気/液界面，気/固界面，固/液界面，固/固界面であり，気/気界面は存在しない。"
13,"次のうち，ぬれの現象について正しいものを選べ。","気/固界面を液/固界面に置き換える現象","液/固界面を気/固界面に置き換える現象","液/固界面を固/固界面に置き換える現象","気/固界面を固/固界面に置き換える現象","",a,"固体表面の気体（空気）を液体（浸透液）に置き換える現象"
14,"次の文は浸透液に細い管を上向きに立てた場合の毛管現象について述べたものである。正しいものを選べ。","他の条件が同一の場合，毛管内径が小さいほど液面は高く上がる。","他の条件が同一の場合，表面張力が小さいほど液面は高く上がる。","他の条件が同一の場合，浸透液の密度が大きいほど浸透液は高く上がる。","他の条件が同一の場合，接触角が大きいほど液面は高く上がる。","",a,"ｈ＝2Γcosθ/ρｇｒの式から設問を理解。ただし，ｈ：液面の高さ，Γ：表面張力，θ:接触角，ρ：液体の密度，ｇ：重力加速度，ｒ：ガラス管半径"
15,"次の文は，浸透液の中に毛細管の一端を入れて垂直にした場合の毛管現象について述べたものである。正しいものを選べ。","他の条件がすべて同じならば，表面張力の大きい浸透液の方が高く上がる。","毛細管の内径が大きい方が高く上がる。","毛細管の上端を閉じたものの方が，上端が開いているものより高く上がる。","浸透液の密度が高いものの方が高く上がる。","",a,"ｈ＝２Γcosθ/ρｇｒの式から設問を理解。毛細管の上端が閉じている場合は，空いている場合より液面の高さは低くなる。"
16,"半径0.5mmの毛細管（ガラス製）を浸透液の中に垂直に立てたとき液面は20mm上昇した。この浸透液の中に間隔1mmで2枚のガラス板を平行にして液面に垂直に立てた場合，液面の高さはいくらになるか。正しいものを選べ。","5mm","10mm","20mm","40mm","",b,"半径ｒの管を上昇するときの液体の高さｈは，ｈ=2Γcosθ／ｒρｇで表される。浸透液が2枚の平行板を上昇するときの液体の高さｈは，ｈ=2Γcosθ／ｄρｇで表される。問題は2平行板の隙間が毛細管の半径の2倍であるから，液面は半分の高さになる。ゆえに正答は10mmとなる。"
