id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation
1,次の文は、曲率のある管材（エルボ部）の厚さ測定の内外周探傷ピッチについて述べたものである。正しいものを一つ選び、記号で答えよ。,エルボ部内周部と外周部は同じ探傷ピッチで行う。,エルボ部内周部は外周部より探傷ピッチを大きくする。,エルボ部外周部は内周部より探傷ピッチを大きくする。,エルボ部外周部も内周部も曲率のない直管と同じ探傷ピッチで行う。,b,エルボ部内周部は外周部より探傷ピッチを大きくする。減肉の著しい部位、すなわち外周部（背側）の管軸方向の曲管部中央付近及びやや下流側の位置を細ピッチで測定するのがよい。
2,次の文は、超音波探傷試験を行う目的について述べたものである。適切なものを一つ選び、記号で答えよ。,製品の破損防止のために、超音波探傷試験を行う。,製品の品質保証のために、超音波探傷試験を行う。,製品の価格を上げるために、超音波探傷試験を行う。,製品を安価に提供するために、超音波探傷試験を行う。,b,品質保証は、最終出荷物の品質を保証するために、規格や客先仕様などで決められた試験方法・判定基準などに基づき実施される。
3,次の文は、JIS Z 2305に基づく超音波探傷試験技術者レベル2の役割について述べたものである。正しいものを一つ選び、記号で答えよ。,日常、レベル1技術者に対して訓練・指導する責任はあるが、新しく資格を取得したレベル2技術者に対して訓練・指導を行ってはならない。,レベル2技術者は、超音波探傷試験方法の適用限界を決定することはできない。,レベル2技術者は、超音波探傷試験を実施するか、又はレベル1技術者が実施する超音波探傷試験を監督しなければならない。,超音波探傷試験結果を取りまとめて報告し、超音波探傷試験設備と職員についての全責任を持たなければならない。,c,レベル2技術者は、NDTを実施し、監督する。レベル2又はそれより下のレベルの全ての作業を実施し、監督する。
4,次の文は、超音波探傷試験における用語について述べたものである。正しいものを一つ選び、記号で答えよ。,板波は、薄い板状の固体を伝搬する波で、対称モードと非対称モードに分類され、モードが異なっても位相速度及び群速度は同じである。,SH波は、振動方向が試験体の表面と直角な横波で、一般的な斜角探傷試験に用いられる。,ガイド波は、細長い材料中を長手方向に探傷面と平行方向に伝搬する超音波で、長い配管の探傷に用いられる。,SV波は、振動方向が試験体の表面に垂直な面内で振動する横波で、特殊な超音波斜角探傷に用いる。,c,ガイド波は、パイプを軸方向に長距離伝搬する波である。パイプの内外面を境界として発生する波であり、減衰が少なく広範囲の検査が可能である。
5,次の文は、JIS Z 3060の適用範囲について述べたものである。正しいものを一つ選び、記号で答えよ。,JIS Z 3060では、厚さ6mm以上のフェライト系の鋼の完全溶込み溶接部の超音波探傷試験方法及び分類方法を規定している。,オーステナイト系ステンレス鋼溶接部の超音波探傷では、JIS Z 3060をそのまま適用することができる。,JIS Z 3060では、厚さ13mm以上のフェライト系の鋼及びオーステナイト系の鋼の完全溶込み溶接部の垂直探傷について規定している。,JIS Z 3060では、厚さ6mm以上のフェライト系の鋼の完全溶込み溶接部の自動探傷についても規定している。,a,JIS Z 3060の適用範囲では、厚さ6mm以上のフェライト系鋼の完全溶込み溶接部を規定している。
6,次の文は、JIS Z 3060に規定する超音波探傷装置の測定、調整及び点検について述べたものである。正しいものを一つ選び、記号で答えよ。,JIS Z 3060では、探傷器の定期点検は探傷作業の開始時のみ実施する。,JIS Z 3060では、入射点、屈折角、測定範囲及び探傷感度の調整及び点検は作業開始時にのみ行う。,JIS Z 3060では、探傷器の定期点検は、6か月に1回実施する。,JIS Z 3060では、入射点、屈折角、測定範囲及び探傷感度の調整及び点検は、作業開始時と4時間以内ごと及び作業終了時に行う。,d,JIS Z 3060では、入射点、STB屈折角、測定範囲及び探傷感度は、作業開始時に測定及び調整し、作業開始後4時間以内ごと及び作業終了時に点検する。
7,次の文は、音響インピーダンスについて述べたものである。正しいものを一つ選び、記号で答えよ。,周波数を高くすると、音響インピーダンスは小さくなる。,音響インピーダンスは、屈折角の計算に使用する。,音響インピーダンスは、密度と音速の積である。,音響インピーダンスは、2つの媒質の間の反射率である。,c,音響インピーダンス(Z)＝ρC（ρ：密度、C：音速）で求まる。
8,次の文は、音響インピーダンスと音圧反射率について述べたものである。正しいものを一つ選び、記号で答えよ。,音響インピーダンスは、音速と質量の積で表わされる。,低炭素鋼溶接部の母材と溶着金属のように、音響インピーダンスの値にあまり差のない場合には、その境界面では超音波がほとんど反射しない。,音響インピーダンスは、音圧反射率と無関係である。,音響インピーダンスの大きく異なる二つの物質の境界面に、超音波が垂直に入射すると、音圧反射率は、ほとんど0％になる。,b,音響インピーダンスにあまり差のない場合には境界面での反射はほとんど起こらない。
9,次の文は、音響インピーダンスについて述べたものである。正しいものを一つ選び、記号で答えよ。,音響インピーダンスは、比重と音速の積で表わされる。,音響インピーダンスは、密度と音速の積で表わされる。,音響インピーダンスは、波長と密度の積で表わされる。,音響インピーダンスは、振動数と比重の積で表わされる。,b,音響インピーダンス(Z)＝ρC（ρ：密度、C：音速）で求まる。
10,"次の文は、音圧反射率について述べたものである。片側に銅をクラッドした鋼板を鋼の側から周波数5MHzの探触子で垂直探傷した。境界面における音圧反射率は何％となるか。鋼：音速5,900m/s、密度7.8g/cm³、銅：音速4,700m/s、密度8.9g/cm³",2.4,2.9,4.8,9.6,c,音圧反射率＝(Z2－Z1)/(Z1＋Z2)より計算すると約4.8％となる。
11,全没水浸法で各種の材質の試験体を垂直探傷した。表面エコー高さが最大の試験体はどれか。水：1.5×10⁶、アクリル樹脂：3.2×10⁶、アルミニウム：16.9×10⁶、鋼：45.4×10⁶、銅：41.8×10⁶ kg/m²S,鋼,アクリル樹脂,銅,アルミニウム,a,表面エコーは音響インピーダンスが最も大きい鋼が最大となる。
12,"局部水浸法で厚さ30mmの鋼板を垂直探傷し、表面エコー高さを100％に調整したときの第1回底面エコー高さは何％となるか。材料中の減衰及び音場の拡散は考慮しない。鋼材密度7.8g/cm³、縦波音速5,920m/s、水の密度1g/cm³、音速1,480m/s",6,12,13,94,c,音圧往復通過率から計算すると約13％となる。
13,次の文は、水から鋼に超音波が入射するときの現象に関する記述である。正しいものを一つ選び、記号で答えよ。,水から鋼に垂直に入射した場合、水中では横波は伝搬しないため、境界面での反射は生じない。,水から鋼に斜めに入射した場合、水中では横波は伝搬しないため、鋼中に横波は伝搬しない。,縦波臨界角より大きな角度で水から鋼に斜め入射した場合、鋼中には横波だけが伝搬する。,水中の音速は鋼中の横波音速より小さいため、横波臨界角は存在しない。,c,縦波臨界角と横波臨界角の間で超音波が入射すると、屈折横波だけが伝搬する。
