id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,"【頻出】放射線感受性に関する次の記述のうち、誤っているものはどれか。","小腸の絨毛先端部の細胞は、腺窩細胞(クリプト細胞)より放射線感受性が高い。","神経組織の放射線感受性は成人では低いが、胎児では高い。","皮膚の基底細胞層は、角質層より放射線感受性が高い。","細胞周期の中で、G1期(DNA合成準備期)初期は、G2期(分裂準備期)後期より放射線感受性が低い。","細胞周期の中で、S期(DNA合成期)初期は、S期後期より放射線感受性が高い。",a,"【4回中2回出題】小腸の絨毛先端部の細胞は分化した細胞であり、腺窩細胞（クリプト細胞）より放射線感受性が低い。未分化で分裂頻度が高い細胞ほど感受性が高い。"
2,"【頻出】次のAからCの人体の組織・器官について、放射線感受性の高いものから順に並べたものはどれか。A:皮脂腺（または毛のう） B:小腸粘膜 C:甲状腺","A, B, C","A, C, B","B, A, C","B, C, A","C, A, B",c,"【4回全て出題】放射線感受性は小腸粘膜＞皮脂腺（毛のう）＞甲状腺＞神経組織の順。骨組織は一般に低いが小児では比較的高い。"
3,"【頻出】生物効果比（RBE）に関する次の記述のうち、正しいものはどれか。","RBEを求めるときの基準放射線としては、通常、エックス線やガンマ線が用いられる。","エックス線は、そのエネルギーの高低にかかわらず、RBEが1より小さい。","RBEの値は、同じ線質の放射線であっても、着目する生物効果、線量率などの条件によって異なる。","RBEは、放射線の線エネルギー付与(LET)が高くなるにつれて増大し、最大値に達した後はほぼ一定の値となる。","RBE＝同じ反応を起こす試験放射線÷基準放射線の吸収線量である。",a,"【4回中3回出題】基準放射線はエックス線・ガンマ線。RBE＝基準放射線÷試験放射線。LETが高くなると最大値後は減少する。同じ線質でも条件によりRBEは異なる。"
4,"【頻出】放射線の被ばくによる確率的影響と確定的影響に関する次の記述のうち、誤っているものはどれか。","確率的影響では、被ばくした集団中の影響の発生確率は、被ばく線量の増加とともに増加する。","確定的影響では、被ばく線量と影響の発生確率との関係が、シグモイド曲線で示される。","遺伝的影響には、確率的影響に分類されるものと確定的影響に分類されるものがある。","早期影響は、全て確定的影響に分類される。","しきい線量は、確定的影響には存在するが、確率的影響には存在しないと考えられている。",c,"【4回全て出題】遺伝的影響は全て確率的影響に分類される。確定的影響に分類されるものはない。確率的影響は重篤度が線量に依存しない。"
5,"【頻出】次のAからDの放射線影響について、その発症にしきい線量が存在するものの全ての組合せはどれか。A:白血球減少 B:永久不妊 C:甲状腺がん D:脱毛","A, B, D","A, C","A, C, D","B, C","B, D",a,"【4回中3回出題】しきい線量が存在するのは確定的影響。白血球減少、永久不妊、脱毛、皮膚炎、白内障、胎児奇形は確定的影響。がん、白血病は確率的影響（しきい値なし）。"
6,"【頻出】エックス線の直接作用と間接作用に関する次の記述のうち、正しいものはどれか。","エックス線光子と生体内の水分子を構成する原子との相互作用の結果生成されたラジカルが、直接、生体高分子に損傷を与える作用が直接作用である。","エックス線光子によって生じた二次電子が、生体高分子の電離又は励起を行うことによって、生体高分子に損傷を与える作用が間接作用である。","エックス線が生体に与える影響は、直接作用によるものより間接作用によるものの方が大きい。","生体中にシステイン、システアミンなどのSH基を有する化合物が存在すると放射線効果が軽減されることは、主に直接作用により説明される。","溶液中の酵素の濃度を変えて一定線量のエックス線を照射するとき、酵素の濃度が減少するに従って酵素の全分子のうち不活性化されるものの占める割合が増加することは、直接作用により説明される。",c,"【4回中3回出題】エックス線（低LET放射線）は間接作用が主。直接作用は二次電子による生体高分子の電離・励起。SH基化合物による効果軽減は間接作用で説明。"
7,"【頻出】エックス線被ばくによる末梢血液中の血球の変化に関する次の記述のうち、誤っているものはどれか。","被ばくにより赤色骨髄中の幹細胞が障害を受けると、末梢血液中の血球数は減少していく。","末梢血液中の赤血球の減少は貧血を招き、血小板の減少は出血傾向を示す原因となる。","末梢血液中の白血球のうち、リンパ球は他の成分より放射線感受性が高く、被ばく直後から減少が現れる。","末梢血液中のリンパ球を除く白血球は、被ばく直後は一時的に増加が認められることがある。","末梢血液中の血球のうち、被ばく後減少が現れるのが最も遅いものは血小板である。",e,"【4回中2回出題】被ばく後減少が現れるのが最も遅いものは赤血球（寿命120日）。血小板の減少は出血傾向、白血球減少は感染抵抗力低下の原因。"
8,"【頻出】放射線による身体的影響に関する次の記述のうち、誤っているものはどれか。","身体的影響には、その重篤度が、被ばく線量に依存するものとしないものがある。","放射線により眼の水晶体上皮細胞に障害を受けると、白内障が発生する。","放射線による不妊は、晩発影響に分類される。","白血病以外の放射線による発がんは、一般に、がん好発年齢に達したころから増加するので、被ばく時の年齢が若いほど潜伏期が長くなる。","放射線による白血病は、被ばく線量が大きくなるほど潜伏期が短くなる。",c,"【4回中2回出題】放射線による不妊は早期影響（確定的影響）に分類される。晩発影響ではない。白血病の潜伏期は線量に逆比例して短くなる。"
9,"【頻出】ヒトが一時に全身にエックス線の照射を受けた場合の早期影響に関する次の記述のうち、誤っているものはどれか。","1～2Gy程度の被ばくで、放射線宿酔の症状が現れることがある。","被ばくから死亡までの期間は、一般に造血器官の障害による場合の方が、消化器官の障害による場合より長い。","3～5Gy程度の被ばくによる死亡は、主に造血器官の障害によるものである。","消化器官の障害を主因とする死亡までの期間は、5～20日程度である。","5～10Gy程度の被ばくによる死亡は、主に中枢神経系の障害によるものである。",e,"【4回中2回出題】5～10Gyでは消化器官の障害が主因。中枢神経系の障害は10Gy以上。造血器官障害は3～5Gy。LD50/60は約4Gy。"
10,"【頻出】放射線による遺伝的影響等に関する次の記述のうち、正しいものはどれか。","生殖腺が被ばくしたときに生じる障害は、全て遺伝的影響である。","親の体細胞に突然変異が生じても、子孫に遺伝的影響が生じるおそれはない。","胎内被ばくを受け、出生した子供にみられる発育遅延は、遺伝的影響である。","染色体異常の種類には、放射線の照射を受けた細胞周期に応じて、フレームシフト、置換などがある。","倍加線量は、放射線による遺伝的影響を推定する指標とされ、その値が小さいほど遺伝的影響は起こりにくい。",b,"【4回中2回出題】親の体細胞の突然変異は子孫に遺伝しない（生殖細胞のみ遺伝）。胎内被ばくによる影響は身体的影響。倍加線量が大きいほど遺伝的影響は起こりにくい。"
