id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
1,次の文は、原子について述べたものである。正しいものを一つ選べ。,原子は電子と陽子で構成されている。,原子は電子と中性子で構成されている。,原子は電子と原子核で構成されている。,原子は電子と中間子で構成されている。,c,原子：原子核と電子で構成 原子核：陽子と中性子で構成 参考：テキストⅡ②p17 図2.1,
2,次の文は、電離放射線について述べたものである。正しいものを一つ選べ。,α 線とは、原子核から陽子2 つが飛び出る粒子である。,中性子線とは、原子核から飛び出る中性子の粒子である。,β 線とは、加速粒で電子を加速した際に放出する粒子である。,γ 線とは、原子から飛び出した軌道電子である。,b,電離放射線：原子や分子を電離する粒子線、電磁波をいう。 α 線：He の原子核（陽子2 個、中性子2 個）が外部に飛び出したHe 粒 子の流れ β 線：原子を構成している電子が外部に飛び出した電子の流れ γ 線：原子核内から発生したX 線と同じ性質の光子の流れ（電磁波） 参考：テキストⅡ②p17 図2.1,
3,次のうちγ 線源からの放射線を示す単位として最も適したものを選べ。,MeV（メガエレクトロンボルト）,C／kg（クーロン毎キログラム）,Bq（ベクレル）,Sv（シーベルト）,c,・Bq（ベクレル） 1 秒間に起こる原子の壊変数をいい、壊変ごとにγ 線が発生する。γ 線の放射能を表すのにBq が使用される ・MeV（メガエレクトロンボルト）：エネルギーを表す単位の一つ １eV：1 個の電子が1V の電位差を移動したときのエネルギー ・C／kg（クーロン毎キログラム） 照射線量（空気を電離する量）のSI 単位 ・Sv（シーベルト）：生体に対する影響を表す線量当量の単位。吸収線 量に線質係数を乗じたもの 参考：テキストⅠp5 表2.1、演習・解説1-6（解説1.4）,
4,次の文はX 線と物質（鉄）の相互作用について述べたものである。正しいものを一つ選べ。,光電効果は、X 線のエネルギーが増加するとともに増加する。,弾性散乱は、X 線のエネルギーが10keV 付近で最大となる。,コンプトン効果は、X 線のエネルギーが10keV 付近で主要な相互作用となる。,電子対生成は、X 線のエネルギーが1.02MeV を超えると生じ、10Mev を超えると主要な相互 作用となる。,d,X 線のエネルギーと鉄との相互作用 （鉄の減弱係数μに寄与する相互作用 ・10keV 付近では光電効果が支配的である ・1MeV 付近ではほとんどがコンプトン効果による （100keV 付近でコンプトン効果と光電効果がほぼ等しくなる） ・100keV 付近で弾性散乱（トムソン散乱、レーリー散乱）は最大と なるが、相互作用への寄与率は10％に満たない ・10MeV 付近で電子対生成とコンプトン効果が等しくなる ・10MeV を超えると電子対生成が主要な作用になる 電子対生成は1.02Mev を超えないと生じない 参考：テキストⅡp27～p30 2.2 放射線の減弱 演習・解説（解説1.9）,
5,次の文はコンプトン効果について述べたものである。正しいものを一つ選べ。,X 線又はγ 線の光子が軌道電子に全エネルギーを与え、原子の外へ飛び出させ、自ら消滅す る現象をコンプトン効果という。,X 線又はγ 線が電磁波として原子と弾性的に衝突して運動の方向を変える、すなわち散乱す る現象をコンプトン効果という。,X 線の光子が自由電子と作用し、電子にエネルギーの一部を与え、運動の方向を変える、す なわち散乱する現象をコンプトン効果という。,X 線又はγ 線の光子が原子核の近傍を通過するとき、陰電子と陽電子の対を作り、光子自体 が消滅する現象をコンプトン効果という。,c,コンプトン効果：X 線の光子が自由電子と作用し、電子にエネルギーの 一部を与えて運動の方向を変える。言い換えれば散乱する現象。 特徴：散乱したX 線の波長は長くなる。また、エネルギーを失うため 非弾性散乱とも呼ばれ、通常のRT での散乱線の多くはコンプトン効果 なお、a）は光電効果、b)はトムソン散乱又はレーリー散乱、d)は電子対 生成のことである。 参考：テキストⅡp27～p30 2.2 放射線の減弱、演習・解説（解説1.9）,
6,次の文は、X 線の性質について述べたものである。正しいものを一つ選べ。,硬いX 線とは波長が長く透過力が強い。軟らかいX 線とは波長が短く透過力が弱い。,硬いX 線とは波長が長く透過力が弱い。軟らかいX 線とは波長が短く透過力が強い。,硬いX 線とは波長が短く透過力が強い。軟らかいX 線とは波長が長く透過力が弱い。,硬いX 線はエネルギーが低い。軟らかいX 線はエネルギーが高い。,c,硬軟 透過力 半価層 エネルギー 波長 軟らかいX 線 弱い 薄い 低い 長い 硬いX 線 強い 厚い 高い 短い 参考：テキストⅠp5，p6、 演習・解説p68（表2）,
7,次の文は半価層について述べたものである。正しいものを一つ選べ。,半価層が分かるとX 線の線量が分かる。,半価層が分かるとX 線の線質が分かる。,半価層が分かると直ちに透過線量を求めることができる。,半価層が分かると管電圧が分かる。,b,"・半価層ｈ：X線又はγ線の線束中に特定の物質を置いたとき吸収によっ て，放射線の量が半分に減る場合の物質の厚さ(JIS Z 2300:2009非破 壊試験用語) ・半価層ｈと減弱係数μ との関係 ｈ＝0.693／μ μ は線質に影響することから半価層が分かれば線質が分かる。 ・減弱係数μ：X 線又はγ 線が物質を通過すると，物質との相互作用（光 電吸収，コンプトン散乱及び電子対生成）によって減弱する。 入射光子の数をI とし，I が物質の深さx の所でI になったとする 0 0 と，I＝I ・e－μx となる関係式が導かれる。この式におけるμ が線減 0 弱係数である。μ の単位はm－1，cm－1 などである(JIS Z 2300:2009 非破壊試験用語) ・線質：放射線の透過力。(JIS Z 2300:2009 非破壊試験用語) 参考：テキストⅡ②p34,p35 2.2.6(6)単色X 線の減弱係数と半価層",
8,次の文は半価層について述べたものである。正しいものを一つ選べ。,半価層は、放射線の透過力が大きくなるほど減少する。,半価層は、放射線の透過力が大きくなるほど増加する。,半価層は、放射線の透過力の大小と関係ない。,半価層は、材料の密度が大きくなるほど増加する。,b,問7 参照 参考：H15/秋-H27/秋集大成問題集（2016.02 版）問41,
9,次の文の[ア][イ]に入る正しい組合せを一つ選べ。 母材の厚さ15.0mm、余盛の高さ3.0mm の鋼溶接部を撮影した。このとき散乱比ｎが母材部で2.0、 余盛部で3.5 であり、減弱係数μ が4.62 ㎝-1 とすると、X 線に対する試験体の半価層は[ア]mm であ る。また、母材部においてX 線フィルムに到達する線量は、余盛部に到達する線量の[イ]倍である。,[ア]1.5 [イ]2.0,[ア]1.5 [イ]2.7,[ア]2.5 [イ]2.0,[ア]2.5 [イ]2.7,b,［ア］減弱係数と半価層の関係式は次の通り。 μ：減弱係数[cm-1]、ｈ：半価層[cm] したがって、,
10,次の文の[ア][イ]に入る正しい組合せを一つ選べ。 母材厚さ20.0 mm、余盛高さ4.0 mm の鋼溶接部を撮影した。母材部及び溶接部では、散乱比n がそ れぞれ2.0 及び3.0、透過厚さによる線質の変化はなく、半価層を2.0 mm と仮定する。このとき、母 材部においてX 線フィルムに到達する線量は、溶接部に到達する線量の【ア】倍である。この場合、 JIS Z 3104 で規定する像質A 級の濃度範囲1.3 以上4.0 以下となる条件を満足【イ】。 なお、使用するX 線フィルムの特性曲線から、濃度1.3 を得る露出量の4.5 倍で濃度が4.0 となる。,[ア]3.0 [イ]する,[ア]1.5 [イ]する,[ア]4.0 [イ]しない,[ア]5.0 [イ]しない,a,・母材部の透過線量I 、半価層h=2.0mm であるから 1 余盛高さ4mm（半価層×2）の溶接部の透過線量I 2 I ＝I ・（1/2）2＝I /4 2 1 1 ・母材部のフィルム到達線量I 母材 ＝I +n ・I ＝I ＋2.0･I =3･I （n ：母材部の散乱比2.0） 1 1 1 1 1 1 1 ・余盛部のフィルム到達線量I 余盛 ＝I +n ・I ＝I ＋3.0･I =4･I （n ：余盛部の散乱比3.0） 2 2 2 2 2 2 2 ＝4･I /4＝I 1 1 ・母材部と余盛部のフィルム到達線量の比を求める I 母材／I 余盛＝3･I 1／I 1＝3.0 ・題意より濃度4.0 に対応する露出量は濃度1.3 に対応する露出量の4.5 倍である。上記で求めた余盛部に対する母材部の到達線量は3.0 倍で あることからJIS Z 3104:1995で規定する像質A級の必要条件である濃 度1.3 以上4.0 以下を満足する。,
